Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s,BB_precision,BB_recall,BB_f1,BB_support,BA_precision,BA_recall,BA_f1,BA_support,AA_precision,AA_recall,AA_f1,AA_support,AB_precision,AB_recall,AB_f1,AB_support,Confusion_Matrix,CM_BB_pred_BB,CM_BB_pred_BA,CM_BB_pred_AA,CM_BB_pred_AB,CM_BA_pred_BB,CM_BA_pred_BA,CM_BA_pred_AA,CM_BA_pred_AB,CM_AA_pred_BB,CM_AA_pred_BA,CM_AA_pred_AA,CM_AA_pred_AB,CM_AB_pred_BB,CM_AB_pred_BA,CM_AB_pred_AA,CM_AB_pred_AB,FeatImp_1,FeatImp_2,FeatImp_3,FeatImp_4,FeatImp_5,FeatImp_6,FeatImp_7,FeatImp_8,FeatImp_9,FeatImp_10
CatBoost,0.84375,0.84375,0.85625,0.84375,0.8427579365079365,0.7958224257542214,0.0,0.0,0.7908308506011963,0.75,0.75,0.75,8.0,1.0,0.75,0.8571428571428571,8.0,0.875,0.875,0.875,8.0,0.8,1.0,0.8888888888888888,8.0,"[[6, 0, 1, 1], [1, 6, 0, 1], [1, 0, 7, 0], [0, 0, 0, 8]]",6,0,1,1,1,6,0,1,1,0,7,0,0,0,0,8,18.53746680563561,7.259269475349447,8.987180677586656,2.350825098313014,2.733653436224914,36.310084547052654,4.332843864324383,1.4406147735090915,13.69282710728845,4.3552342147157805
NearestCentroid,0.84375,0.84375,0.8580357142857142,0.84375,0.8465277777777778,0.7947773531750009,0.8504615384615384,0.06525979035122924,0.027654170989990234,0.7,0.875,0.7777777777777778,8.0,0.875,0.875,0.875,8.0,0.8571428571428571,0.75,0.8,8.0,1.0,0.875,0.9333333333333333,8.0,"[[7, 1, 0, 0], [0, 7, 1, 0], [2, 0, 6, 0], [1, 0, 0, 7]]",7,1,0,0,0,7,1,0,2,0,6,0,1,0,0,7,,,,,,,,,,
Bagging,0.84375,0.84375,0.841765873015873,0.84375,0.8412990196078431,0.7926995003304814,0.7729230769230769,0.05952554023970216,6.143099308013916,0.7142857142857143,0.625,0.6666666666666666,8.0,1.0,1.0,1.0,8.0,0.7777777777777778,0.875,0.8235294117647058,8.0,0.875,0.875,0.875,8.0,"[[5, 0, 2, 1], [0, 8, 0, 0], [1, 0, 7, 0], [1, 0, 0, 7]]",5,0,2,1,0,8,0,0,1,0,7,0,1,0,0,7,,,,,,,,,,
PassiveAggressive,0.84375,0.84375,0.84375,0.84375,0.8384978991596639,0.7947773531750009,0.8510769230769231,0.053598551601025675,0.06567525863647461,0.875,0.875,0.875,8.0,0.8333333333333334,0.625,0.7142857142857143,8.0,0.7777777777777778,0.875,0.8235294117647058,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,"[[7, 1, 0, 0], [0, 5, 2, 1], [1, 0, 7, 0], [0, 0, 0, 8]]",7,1,0,0,0,5,2,1,1,0,7,0,0,0,0,8,3.3295297622680664,4.092522144317627,3.9694559574127197,2.183523654937744,4.111626625061035,4.2206034660339355,2.72611141204834,1.209128975868225,3.5653903484344482,2.071241617202759
SGDClassifier,0.84375,0.84375,0.8659722222222223,0.84375,0.8407962543991956,0.7989825537092421,0.8276923076923076,0.04781621620898478,0.07509779930114746,0.875,0.875,0.875,8.0,1.0,0.625,0.7692307692307693,8.0,0.7,0.875,0.7777777777777778,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,"[[7, 0, 1, 0], [0, 5, 2, 1], [1, 0, 7, 0], [0, 0, 0, 8]]",7,0,1,0,0,5,2,1,1,0,7,0,0,0,0,8,7.3307647705078125,16.266315460205078,11.061290740966797,7.109050273895264,8.107008934020996,15.480554580688477,4.545205593109131,3.7433462142944336,7.303615570068359,8.482271194458008
GaussianNB,0.84375,0.84375,0.8555555555555556,0.84375,0.8416433239962651,0.796871631781041,0.858153846153846,0.07491786429505679,0.026169300079345703,0.8333333333333334,0.625,0.7142857142857143,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,0.7,0.875,0.7777777777777778,8.0,1.0,0.875,0.9333333333333333,8.0,"[[5, 1, 2, 0], [0, 8, 0, 0], [1, 0, 7, 0], [0, 0, 1, 7]]",5,1,2,0,0,8,0,0,1,0,7,0,0,0,1,7,,,,,,,,,,
GradientBoosting,0.8125,0.8125,0.8198412698412698,0.8125,0.8083099906629319,0.7549310195820389,0.7966153846153846,0.05206641184682838,2.8001060485839844,0.8333333333333334,0.625,0.7142857142857143,8.0,0.8571428571428571,0.75,0.8,8.0,0.7,0.875,0.7777777777777778,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,"[[5, 1, 2, 0], [0, 6, 1, 1], [1, 0, 7, 0], [0, 0, 0, 8]]",5,1,2,0,0,6,1,1,1,0,7,0,0,0,0,8,0.08968770409906929,0.2906182950120201,0.08625150634793106,0.02225442790986735,0.013477124986844955,0.1955688494280535,0.029406818119595383,0.04269387916068445,0.14212971790307283,0.08791167703286094
DecisionTree,0.8125,0.8125,0.8590909090909091,0.8125,0.8064327485380117,0.7650920556760059,0.7418461538461539,0.08050373948460975,0.03914451599121094,1.0,0.5,0.6666666666666666,8.0,1.0,0.875,0.9333333333333333,8.0,0.6363636363636364,0.875,0.7368421052631579,8.0,0.8,1.0,0.8888888888888888,8.0,"[[4, 0, 3, 1], [0, 7, 1, 0], [0, 0, 7, 1], [0, 0, 0, 8]]",4,0,3,1,0,7,1,0,0,0,7,1,0,0,0,8,0.11631286826599331,0.19512919512919522,0.02387544208664902,0.053168402777777755,0.03402777777777777,0.21497411806014144,0.08310693506006003,0.05833333333333333,0.17016046917573882,0.050911458333333326
HistGradientBoosting,0.8125,0.8125,0.8131944444444446,0.8125,0.8007007290095526,0.756930840356124,0.7415384615384616,0.04361206065206649,1.9030673503875732,0.8,0.5,0.6153846153846154,8.0,0.875,0.875,0.875,8.0,0.7777777777777778,0.875,0.8235294117647058,8.0,0.8,1.0,0.8888888888888888,8.0,"[[4, 1, 2, 1], [0, 7, 0, 1], [1, 0, 7, 0], [0, 0, 0, 8]]",4,1,2,1,0,7,0,1,1,0,7,0,0,0,0,8,,,,,,,,,,
QDA,0.78125,0.78125,0.8207070707070707,0.78125,0.786156567890314,0.7167829363048327,0.7316923076923076,0.14838810459669202,0.027933120727539062,0.5555555555555556,0.625,0.5882352941176471,8.0,1.0,0.75,0.8571428571428571,8.0,1.0,0.75,0.8571428571428571,8.0,0.7272727272727273,1.0,0.8421052631578947,8.0,"[[5, 0, 0, 3], [2, 6, 0, 0], [2, 0, 6, 0], [0, 0, 0, 8]]",5,0,0,3,2,6,0,0,2,0,6,0,0,0,0,8,,,,,,,,,,
ExtraTree,0.71875,0.71875,0.753030303030303,0.71875,0.7215448122568866,0.6333004963811236,0.703076923076923,0.03090738216331735,0.0270845890045166,0.8,0.5,0.6153846153846154,8.0,1.0,0.875,0.9333333333333333,8.0,0.5454545454545454,0.75,0.631578947368421,8.0,0.6666666666666666,0.75,0.7058823529411765,8.0,"[[4, 0, 3, 1], [0, 7, 0, 1], [1, 0, 6, 1], [0, 0, 2, 6]]",4,0,3,1,0,7,0,1,1,0,6,1,0,0,2,6,0.27819709304816925,0.057889660493827134,0.06490575396825397,0.04933574879227054,0.05248316498316499,0.173181216931217,0.049479166666666664,0.09623541967291964,0.07986111111111112,0.0984316643323997
SVC_Poly,0.71875,0.71875,0.8250000000000001,0.71875,0.7373387482083135,0.6537204504606134,0.6793846153846154,0.06519592683396443,0.03311562538146973,0.8333333333333334,0.625,0.7142857142857143,8.0,1.0,0.625,0.7692307692307693,8.0,0.4666666666666667,0.875,0.6086956521739131,8.0,1.0,0.75,0.8571428571428571,8.0,"[[5, 0, 3, 0], [0, 5, 3, 0], [1, 0, 7, 0], [0, 0, 2, 6]]",5,0,3,0,0,5,3,0,1,0,7,0,0,0,2,6,,,,,,,,,,
MLP_Small,0.59375,0.59375,0.47925420168067223,0.59375,0.5120833333333333,0.5092920079978712,0.4532307692307692,0.0408385477490143,0.12218046188354492,0.0,0.0,0.0,8.0,0.875,0.875,0.875,8.0,0.5714285714285714,0.5,0.5333333333333333,8.0,0.47058823529411764,1.0,0.64,8.0,"[[0, 1, 2, 5], [0, 7, 1, 0], [0, 0, 4, 4], [0, 0, 0, 8]]",0,1,2,5,0,7,1,0,0,0,4,4,0,0,0,8,,,,,,,,,,
GaussianProcess,0.4375,0.4375,0.3269230769230769,0.4375,0.3319327731092437,0.39223227027636803,0.33692307692307694,0.12432444670030622,1.2190101146697998,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.3076923076923077,1.0,0.47058823529411764,8.0,1.0,0.75,0.8571428571428571,8.0,"[[0, 0, 8, 0], [0, 0, 8, 0], [0, 0, 8, 0], [0, 0, 2, 6]]",0,0,8,0,0,0,8,0,0,0,8,0,0,0,2,6,,,,,,,,,,
DummyStratified,0.28125,0.28125,0.26587301587301587,0.28125,0.27254901960784317,0.04177559931443568,0.24184615384615382,0.08980926534613137,0.016998767852783203,0.14285714285714285,0.125,0.13333333333333333,8.0,0.3333333333333333,0.375,0.35294117647058826,8.0,0.14285714285714285,0.125,0.13333333333333333,8.0,0.4444444444444444,0.5,0.47058823529411764,8.0,"[[1, 4, 2, 1], [2, 3, 3, 0], [2, 1, 1, 4], [2, 1, 1, 4]]",1,4,2,1,2,3,3,0,2,1,1,4,2,1,1,4,,,,,,,,,,
DummyMostFrequent,0.25,0.25,0.0625,0.25,0.1,0.0,0.23446153846153844,0.004522134909753549,0.01685619354248047,0.25,1.0,0.4,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,"[[8, 0, 0, 0], [8, 0, 0, 0], [8, 0, 0, 0], [8, 0, 0, 0]]",8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,,,,,,,,,,
