Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s,BB_precision,BB_recall,BB_f1,BB_support,BA_precision,BA_recall,BA_f1,BA_support,AA_precision,AA_recall,AA_f1,AA_support,AB_precision,AB_recall,AB_f1,AB_support,Confusion_Matrix,CM_BB_pred_BB,CM_BB_pred_BA,CM_BB_pred_AA,CM_BB_pred_AB,CM_BA_pred_BB,CM_BA_pred_BA,CM_BA_pred_AA,CM_BA_pred_AB,CM_AA_pred_BB,CM_AA_pred_BA,CM_AA_pred_AA,CM_AA_pred_AB,CM_AB_pred_BB,CM_AB_pred_BA,CM_AB_pred_AA,CM_AB_pred_AB,FeatImp_1,FeatImp_2,FeatImp_3,FeatImp_4,FeatImp_5,FeatImp_6,FeatImp_7,FeatImp_8,FeatImp_9,FeatImp_10
KNN_5,0.96875,0.96875,0.9722222222222222,0.96875,0.9686274509803922,0.9595836056632143,0.8667692307692307,0.053785460299647626,0.060662031173706055,0.8888888888888888,1.0,0.9411764705882353,8.0,1.0,1.0,1.0,8.0,1.0,0.875,0.9333333333333333,8.0,1.0,1.0,1.0,8.0,"[[8, 0, 0, 0], [0, 8, 0, 0], [1, 0, 7, 0], [0, 0, 0, 8]]",8,0,0,0,0,8,0,0,1,0,7,0,0,0,0,8,,,,,,,,,,
KNN_3,0.96875,0.96875,0.9722222222222222,0.96875,0.9686274509803922,0.9595836056632143,0.8356923076923076,0.03026353675307518,0.05071544647216797,0.8888888888888888,1.0,0.9411764705882353,8.0,1.0,1.0,1.0,8.0,1.0,0.875,0.9333333333333333,8.0,1.0,1.0,1.0,8.0,"[[8, 0, 0, 0], [0, 8, 0, 0], [1, 0, 7, 0], [0, 0, 0, 8]]",8,0,0,0,0,8,0,0,1,0,7,0,0,0,0,8,,,,,,,,,,
MLP_Large,0.96875,0.96875,0.9722222222222222,0.96875,0.9686274509803922,0.9595836056632143,0.7335384615384615,0.10018869770552462,0.3080918788909912,0.8888888888888888,1.0,0.9411764705882353,8.0,1.0,1.0,1.0,8.0,1.0,0.875,0.9333333333333333,8.0,1.0,1.0,1.0,8.0,"[[8, 0, 0, 0], [0, 8, 0, 0], [1, 0, 7, 0], [0, 0, 0, 8]]",8,0,0,0,0,8,0,0,1,0,7,0,0,0,0,8,,,,,,,,,,
LinearSVC,0.9375,0.9375,0.9409722222222222,0.9375,0.9373774509803922,0.9178625793300311,0.8667692307692307,0.04746446818036596,0.21625947952270508,0.875,0.875,0.875,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,1.0,0.875,0.9333333333333333,8.0,1.0,1.0,1.0,8.0,"[[7, 1, 0, 0], [0, 8, 0, 0], [1, 0, 7, 0], [0, 0, 0, 8]]",7,1,0,0,0,8,0,0,1,0,7,0,0,0,0,8,,,,,,,,,,
StackingEnsemble,0.9375,0.9375,0.95,0.9375,0.9388888888888889,0.9202685142026326,0.858153846153846,0.0665526441087792,4.677892446517944,0.8,1.0,0.8888888888888888,8.0,1.0,0.875,0.9333333333333333,8.0,1.0,0.875,0.9333333333333333,8.0,1.0,1.0,1.0,8.0,"[[8, 0, 0, 0], [1, 7, 0, 0], [1, 0, 7, 0], [0, 0, 0, 8]]",8,0,0,0,1,7,0,0,1,0,7,0,0,0,0,8,,,,,,,,,,
RidgeClassifier,0.90625,0.90625,0.9166666666666666,0.90625,0.9078431372549021,0.8772875856031493,0.8676923076923077,0.03804699678682986,0.03214406967163086,0.7777777777777778,0.875,0.8235294117647058,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,1.0,0.875,0.9333333333333333,8.0,1.0,0.875,0.9333333333333333,8.0,"[[7, 1, 0, 0], [0, 8, 0, 0], [1, 0, 7, 0], [1, 0, 0, 7]]",7,1,0,0,0,8,0,0,1,0,7,0,1,0,0,7,0.11887658387422562,0.21261559426784515,0.12171915173530579,0.08408443629741669,0.1220078095793724,0.18110935389995575,0.09642262756824493,0.0428931787610054,0.20309656858444214,0.11261763423681259
SVC_Linear,0.90625,0.90625,0.9131944444444444,0.90625,0.9079656862745098,0.8761415529968479,0.8510769230769231,0.046738856533500815,0.030694961547851562,0.875,0.875,0.875,8.0,1.0,0.875,0.9333333333333333,8.0,0.7777777777777778,0.875,0.8235294117647058,8.0,1.0,1.0,1.0,8.0,"[[7, 0, 1, 0], [0, 7, 1, 0], [1, 0, 7, 0], [0, 0, 0, 8]]",7,0,1,0,0,7,1,0,1,0,7,0,0,0,0,8,0.5545176259036869,0.7297386732535079,0.2155293953336411,0.3458919743266781,0.5797186823132963,0.7828049693868165,0.43212355453628,0.21278909695828463,0.4101937066314298,0.36138996865787093
VotingEnsemble,0.875,0.875,0.8740079365079365,0.875,0.8727941176470588,0.8344205266636646,0.8513846153846154,0.030391527938131047,1.9261119365692139,0.8571428571428571,0.75,0.8,8.0,0.875,0.875,0.875,8.0,0.875,0.875,0.875,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,"[[6, 1, 1, 0], [0, 7, 0, 1], [1, 0, 7, 0], [0, 0, 0, 8]]",6,1,1,0,0,7,0,1,1,0,7,0,0,0,0,8,,,,,,,,,,
XGBoost,0.875,0.875,0.8809523809523809,0.875,0.8745098039215686,0.8355119862887136,0.7953846153846155,0.08014188601156776,0.9427218437194824,0.8571428571428571,0.75,0.8,8.0,1.0,0.875,0.9333333333333333,8.0,0.7777777777777778,0.875,0.8235294117647058,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,"[[6, 0, 2, 0], [0, 7, 0, 1], [1, 0, 7, 0], [0, 0, 0, 8]]",6,0,2,0,0,7,0,1,1,0,7,0,0,0,0,8,0.09299951791763306,0.20790843665599823,0.06714046001434326,0.0360301211476326,0.07979079335927963,0.20696471631526947,0.04078783467411995,0.0469161756336689,0.15186181664466858,0.06960012763738632
Perceptron,0.875,0.875,0.875,0.875,0.8697478991596639,0.8366077401842115,0.8043076923076923,0.07470906094298235,0.06013035774230957,0.8333333333333334,0.625,0.7142857142857143,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,0.7777777777777778,0.875,0.8235294117647058,8.0,1.0,1.0,1.0,8.0,"[[5, 1, 2, 0], [0, 8, 0, 0], [1, 0, 7, 0], [0, 0, 0, 8]]",5,1,2,0,0,8,0,0,1,0,7,0,0,0,0,8,2.8072237968444824,3.7479336261749268,3.2711904048919678,1.647688388824463,3.9455909729003906,4.392514705657959,1.7364140748977661,1.753267526626587,2.5530900955200195,1.4642583131790161
ExtraTrees,0.875,0.875,0.875,0.875,0.875,0.8333333333333334,0.8513846153846154,0.01684176268726647,0.9940860271453857,0.75,0.75,0.75,8.0,0.875,0.875,0.875,8.0,0.875,0.875,0.875,8.0,1.0,1.0,1.0,8.0,"[[6, 1, 1, 0], [1, 7, 0, 0], [1, 0, 7, 0], [0, 0, 0, 8]]",6,1,1,0,1,7,0,0,1,0,7,0,0,0,0,8,0.14190541630698753,0.12823972983529572,0.11557084263529328,0.07252366761933397,0.08196445290773166,0.12712225266253704,0.08375034319819119,0.06530084623542923,0.10953218124703029,0.07409026735217013
AdaBoost,0.875,0.875,0.8944444444444444,0.875,0.8757236227824463,0.8388122439800432,0.7504615384615384,0.036515701413284446,0.5873885154724121,0.7777777777777778,0.875,0.8235294117647058,8.0,1.0,0.75,0.8571428571428571,8.0,0.8,1.0,0.8888888888888888,8.0,1.0,0.875,0.9333333333333333,8.0,"[[7, 0, 1, 0], [1, 6, 1, 0], [0, 0, 8, 0], [1, 0, 0, 7]]",7,0,1,0,1,6,1,0,0,0,8,0,1,0,0,7,0.10870861597795754,0.308592673804727,0.059427352516362275,0.08098424992155709,0.07151933141559105,0.15231149101387276,0.06074449757651486,0.054109172117935644,0.07531731247225579,0.02828530318322597
MLP_L2,0.875,0.875,0.8972222222222221,0.875,0.8773576097105509,0.8388122439800432,0.7652307692307692,0.08932408913282176,0.32968878746032715,0.7,0.875,0.7777777777777778,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,1.0,0.75,0.8571428571428571,8.0,1.0,0.875,0.9333333333333333,8.0,"[[7, 1, 0, 0], [0, 8, 0, 0], [2, 0, 6, 0], [1, 0, 0, 7]]",7,1,0,0,0,8,0,0,2,0,6,0,1,0,0,7,,,,,,,,,,
LogisticRegression_L2,0.875,0.875,0.8774801587301587,0.875,0.8746323529411765,0.8344205266636646,0.8815384615384614,0.06804105965383378,0.029009342193603516,0.875,0.875,0.875,8.0,0.8571428571428571,0.75,0.8,8.0,0.7777777777777778,0.875,0.8235294117647058,8.0,1.0,1.0,1.0,8.0,"[[7, 1, 0, 0], [0, 6, 2, 0], [1, 0, 7, 0], [0, 0, 0, 8]]",7,1,0,0,0,6,2,0,1,0,7,0,0,0,0,8,0.6965597867965698,0.8712507486343384,0.4229073226451874,0.32760149240493774,0.5571591258049011,0.7801653146743774,0.4412635862827301,0.1720045655965805,0.5985724329948425,0.3307933509349823
KNN_7,0.875,0.875,0.875,0.875,0.8697478991596639,0.8366077401842115,0.8584615384615384,0.07501636902237924,0.06532001495361328,0.8333333333333334,0.625,0.7142857142857143,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,0.7777777777777778,0.875,0.8235294117647058,8.0,1.0,1.0,1.0,8.0,"[[5, 1, 2, 0], [0, 8, 0, 0], [1, 0, 7, 0], [0, 0, 0, 8]]",5,1,2,0,0,8,0,0,1,0,7,0,0,0,0,8,,,,,,,,,,
NuSVC,0.875,0.875,0.875,0.875,0.875,0.8333333333333334,0.8664615384615384,0.060564601921561094,0.03223276138305664,0.75,0.75,0.75,8.0,0.875,0.875,0.875,8.0,0.875,0.875,0.875,8.0,1.0,1.0,1.0,8.0,"[[6, 1, 1, 0], [1, 7, 0, 0], [1, 0, 7, 0], [0, 0, 0, 8]]",6,1,1,0,1,7,0,0,1,0,7,0,0,0,0,8,,,,,,,,,,
SVC_RBF,0.875,0.875,0.875,0.875,0.875,0.8333333333333334,0.8738461538461537,0.06976545660218418,0.028740644454956055,0.75,0.75,0.75,8.0,0.875,0.875,0.875,8.0,0.875,0.875,0.875,8.0,1.0,1.0,1.0,8.0,"[[6, 1, 1, 0], [1, 7, 0, 0], [1, 0, 7, 0], [0, 0, 0, 8]]",6,1,1,0,1,7,0,0,1,0,7,0,0,0,0,8,,,,,,,,,,
LogisticRegression_ElasticNet,0.875,0.875,0.89375,0.875,0.8774801587301587,0.837707816583391,0.8427692307692307,0.058123720320582765,0.04491376876831055,0.875,0.875,0.875,8.0,1.0,0.75,0.8571428571428571,8.0,0.7,0.875,0.7777777777777778,8.0,1.0,1.0,1.0,8.0,"[[7, 0, 1, 0], [0, 6, 2, 0], [1, 0, 7, 0], [0, 0, 0, 8]]",7,0,1,0,0,6,2,0,1,0,7,0,0,0,0,8,0.640891432762146,0.6738834977149963,0.3814482092857361,0.27211618423461914,0.503555178642273,0.7826724052429199,0.43004024028778076,0.06427653133869171,0.41624197363853455,0.2303420454263687
MLP_Medium,0.875,0.875,0.8972222222222221,0.875,0.8773576097105509,0.8388122439800432,0.7652307692307692,0.08932408913282176,0.34190797805786133,0.7,0.875,0.7777777777777778,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,1.0,0.75,0.8571428571428571,8.0,1.0,0.875,0.9333333333333333,8.0,"[[7, 1, 0, 0], [0, 8, 0, 0], [2, 0, 6, 0], [1, 0, 0, 7]]",7,1,0,0,0,8,0,0,2,0,6,0,1,0,0,7,,,,,,,,,,
LDA,0.875,0.875,0.8819444444444444,0.875,0.8767156862745098,0.8344205266636646,0.836,0.0579622403101808,0.028571605682373047,0.7777777777777778,0.875,0.8235294117647058,8.0,0.875,0.875,0.875,8.0,1.0,0.875,0.9333333333333333,8.0,0.875,0.875,0.875,8.0,"[[7, 1, 0, 0], [0, 7, 0, 1], [1, 0, 7, 0], [1, 0, 0, 7]]",7,1,0,0,0,7,0,1,1,0,7,0,1,0,0,7,0.49160873889923096,1.7600727081298828,1.0711826086044312,0.3803606927394867,0.40410327911376953,1.0967020988464355,0.6096950769424438,0.14043831825256348,0.6792411804199219,0.42612916231155396
LogisticRegression_L1,0.875,0.875,0.8854166666666666,0.875,0.8742121848739497,0.8366077401842115,0.8670769230769231,0.019764291511079043,0.07810044288635254,0.875,0.875,0.875,8.0,1.0,0.75,0.8571428571428571,8.0,0.7777777777777778,0.875,0.8235294117647058,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,"[[7, 0, 1, 0], [0, 6, 1, 1], [1, 0, 7, 0], [0, 0, 0, 8]]",7,0,1,0,0,6,1,1,1,0,7,0,0,0,0,8,0.45554542541503906,0.8957427144050598,0.35139161348342896,0.28083401918411255,0.39513906836509705,0.7792338132858276,0.4071541726589203,0.02666136994957924,0.39743220806121826,0.2306402325630188
RandomForest,0.84375,0.84375,0.8517857142857144,0.84375,0.8430555555555556,0.7947773531750009,0.8433846153846154,0.026866313788237606,1.3061540126800537,0.75,0.75,0.75,8.0,0.8571428571428571,0.75,0.8,8.0,1.0,0.875,0.9333333333333333,8.0,0.8,1.0,0.8888888888888888,8.0,"[[6, 1, 0, 1], [1, 6, 0, 1], [1, 0, 7, 0], [0, 0, 0, 8]]",6,1,0,1,1,6,0,1,1,0,7,0,0,0,0,8,0.12915172739065958,0.15673088045807243,0.10685284822811597,0.06630051625149258,0.07801959001661468,0.14863469548869998,0.06911299918707649,0.053189029034468954,0.11370942893004302,0.07829828501475636
