mac,1,2,3,4,5,6,7,8,9,10,label,noise
e6:53:5c:2a:e8:e2,-42.0,-40.0,-54.0,-42.0,-42.0,-31.0,-39.0,-37.0,-30.0,-46.0,AA,True
e6:53:5c:2a:e8:e2,-39.0,-34.0,-49.0,-29.0,-45.0,-32.0,-33.0,-28.0,-31.0,-32.0,AA,True
e6:53:5c:2a:e8:e2,-35.0,-43.0,-35.0,-33.0,-40.0,-36.0,-41.0,-40.0,-37.0,-35.0,AA,True
e6:53:5c:2a:e8:e2,-37.0,-36.0,-41.0,-40.0,-36.0,-31.0,-37.0,-32.0,-36.0,-38.0,AA,True
e6:53:5c:2a:e8:e2,-35.0,-33.0,-34.0,-47.0,-42.0,-35.0,-30.0,-32.0,-37.0,-31.0,AA,True
e6:53:5c:2a:e8:e2,-38.0,-37.0,-35.0,-40.0,-32.0,-34.0,-34.0,-35.0,-46.0,-29.0,AA,True
e6:53:5c:2a:e8:e2,-44.0,-38.0,-40.0,-32.0,-37.0,-41.0,-40.0,-31.0,-41.0,-34.0,AA,True
e6:53:5c:2a:e8:e2,-54.0,-38.0,-36.0,-34.0,-37.0,-39.0,-60.0,-34.0,-48.0,-38.0,AA,True
e6:53:5c:2a:e8:e2,-42.0,-37.0,-33.0,-51.0,-34.0,-32.0,-37.0,-28.0,-34.0,-33.0,AA,True
e6:53:5c:2a:e8:e2,-42.0,-37.0,-52.0,-43.0,-47.0,-37.0,-41.0,-38.0,-39.0,-42.0,AA,True
e6:53:5c:2a:e8:e2,-36.0,-39.0,-39.0,-40.0,-34.0,-38.0,-41.0,-33.0,-34.0,-38.0,AA,True
e6:53:5c:2a:e8:e2,-45.0,-41.0,-37.0,-40.0,-36.0,-38.0,-38.0,-34.0,-37.0,-37.0,AA,True
e6:53:5c:2a:e8:e2,-37.0,-39.0,-43.0,-54.0,-42.0,-40.0,-38.0,-38.0,-38.0,-37.0,AA,True
e6:53:5c:2a:e8:e2,-38.0,-41.0,-38.0,-49.0,-43.0,-33.0,-32.0,-40.0,-36.0,-32.0,AA,True
e6:53:5c:2a:e8:e2,-39.0,-46.0,-31.0,-64.0,-36.0,-37.0,-34.0,-35.0,-31.0,-37.0,AA,True
