mac,1,2,3,4,5,6,7,8,9,10,label,noise_label
76:64:61:f6:e6:14,-51.0,-49.0,-46.0,-47.0,-50.0,-55.0,-51.0,-46.0,-52.0,-61.0,BB,True
76:64:61:f6:e6:14,-48.0,-45.0,-50.0,-54.0,-56.0,-61.0,-55.0,-44.0,-57.0,-48.0,BB,True
76:64:61:f6:e6:14,-55.0,-62.0,-59.0,-64.0,-59.5,-49.0,-44.0,-53.0,-45.0,-44.0,BB,True
76:64:61:f6:e6:14,-46.0,-49.0,-44.0,-47.0,-52.0,-46.0,-50.0,-50.0,-46.0,-52.0,BB,True
76:64:61:f6:e6:14,-50.0,-47.0,-52.0,-50.0,-51.0,-48.0,-47.0,-47.0,-46.0,-49.0,BB,True
76:64:61:f6:e6:14,-47.0,-51.0,-46.0,-44.0,-52.0,-52.0,-44.0,-54.0,-43.0,-49.0,BB,True
76:64:61:f6:e6:14,-41.0,-45.0,-49.0,-52.0,-49.0,-57.0,-52.0,-49.0,-49.0,-48.0,BB,True
76:64:61:f6:e6:14,-49.0,-49.0,-47.0,-48.0,-44.0,-47.0,-56.0,-47.0,-53.0,-52.0,BB,True
76:64:61:f6:e6:14,-50.0,-49.0,-48.0,-50.0,-48.0,-59.0,-51.0,-54.0,-51.0,-47.0,BB,True
76:64:61:f6:e6:14,-50.0,-57.0,-50.0,-55.0,-44.0,-47.0,-46.0,-44.0,-53.0,-52.0,BB,True
76:64:61:f6:e6:14,-50.0,-52.0,-48.0,-49.0,-52.0,-51.0,-49.0,-44.0,-49.0,-51.0,BB,True
76:64:61:f6:e6:14,-48.0,-44.0,-49.0,-49.0,-50.0,-50.0,-50.0,-49.0,-57.0,-47.0,BB,True
76:64:61:f6:e6:14,-49.0,-47.0,-43.0,-53.0,-49.0,-48.0,-50.0,-49.0,-48.0,-45.0,BB,True
76:64:61:f6:e6:14,-47.0,-46.0,-47.0,-51.0,-46.0,-48.0,-46.0,-52.0,-49.0,-47.0,BB,True
76:64:61:f6:e6:14,-47.0,-45.0,-43.0,-48.0,-47.0,-49.0,-52.0,-48.0,-52.0,-47.0,BB,True
76:64:61:f6:e6:14,-50.0,-52.0,-46.0,-47.0,-46.0,-46.0,-54.0,-49.0,-46.0,-49.0,BB,True
04:b1:67:ac:8d:65,-37.0,-37.0,-38.0,-46.0,-63.0,-63.0,-68.0,-68.0,-68.0,-68.0,AB,True
04:b1:67:ac:8d:65,-35.0,-35.0,-35.0,-35.0,-35.0,-65.0,-65.0,-65.0,-65.0,-65.0,AB,True
04:b1:67:ac:8d:65,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,AB,True
04:b1:67:ac:8d:65,-37.0,-37.0,-37.0,-37.0,-40.0,-40.0,-40.0,-40.0,-68.0,-68.0,AB,True
04:b1:67:ac:8d:65,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,AB,True
04:b1:67:ac:8d:65,-43.0,-48.0,-48.0,-48.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,AB,True
04:b1:67:ac:8d:65,-36.0,-47.0,-47.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,AB,True
04:b1:67:ac:8d:65,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-69.0,-69.0,-69.0,-69.0,AB,True
04:b1:67:ac:8d:65,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,-66.0,-68.0,-68.0,AB,True
04:b1:67:ac:8d:65,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,AB,True
04:b1:67:ac:8d:65,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,AB,True
04:b1:67:ac:8d:65,-36.0,-46.0,-46.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,AB,True
04:b1:67:ac:8d:65,-58.0,-58.0,-58.0,-58.0,-58.0,-66.0,-66.0,-66.0,-66.0,-66.0,AB,True
04:b1:67:ac:8d:65,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0,-64.0,AB,True
04:b1:67:ac:8d:65,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-77.0,-77.0,AB,True
04:b1:67:ac:8d:65,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,AB,True
04:b1:67:ac:8d:65,-36.0,-36.0,-36.0,-36.0,-49.0,-67.0,-66.0,-70.0,-70.0,-80.0,AB,True
04:b1:67:ac:8d:65,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,AB,True
04:b1:67:ac:8d:65,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,AB,True
04:b1:67:ac:8d:65,-39.0,-40.0,-37.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,AB,True
