mac,1,2,3,4,5,6,7,8,9,10,label,noise
04:b1:67:ac:8d:65,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,AA,False
04:b1:67:ac:8d:65,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,AA,False
04:b1:67:ac:8d:65,-39.0,-39.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,AA,False
04:b1:67:ac:8d:65,-37.0,-37.0,-37.0,-37.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,AA,False
04:b1:67:ac:8d:65,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,AA,False
04:b1:67:ac:8d:65,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,AA,False
04:b1:67:ac:8d:65,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,AA,False
04:b1:67:ac:8d:65,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,AA,False
04:b1:67:ac:8d:65,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,AA,False
04:b1:67:ac:8d:65,-31.0,-31.0,-43.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-38.0,AA,False
04:b1:67:ac:8d:65,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,AA,False
04:b1:67:ac:8d:65,-38.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,AA,False
04:b1:67:ac:8d:65,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,AA,False
04:b1:67:ac:8d:65,-36.0,-36.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-47.0,-47.0,AA,False
04:b1:67:ac:8d:65,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,AA,False
04:b1:67:ac:8d:65,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,AA,False
04:b1:67:ac:8d:65,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,AA,False
04:b1:67:ac:8d:65,-43.0,-43.0,-43.0,-42.0,-42.0,-42.0,-47.0,-46.0,-38.0,-38.0,AA,False
04:b1:67:ac:8d:65,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,AA,False
04:b1:67:ac:8d:65,-36.0,-36.0,-36.0,-36.0,-36.0,-40.0,-40.0,-40.0,-40.0,-40.0,AA,False
04:b1:67:ac:8d:65,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,AA,False
04:b1:67:ac:8d:65,-48.0,-58.0,-58.0,-58.0,-58.0,-38.0,-38.0,-38.0,-38.0,-38.0,AA,False
04:b1:67:ac:8d:65,-36.0,-38.0,-39.0,-51.0,-42.0,-43.0,-48.0,-49.0,-49.0,-49.0,AA,False
04:b1:67:ac:8d:65,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,AA,False
04:b1:67:ac:8d:65,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-38.0,AA,False
04:b1:67:ac:8d:65,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,AA,False
04:b1:67:ac:8d:65,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,AA,False
04:b1:67:ac:8d:65,-37.0,-37.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,AA,False
04:b1:67:ac:8d:65,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-36.0,-36.0,-36.0,AA,False
04:b1:67:ac:8d:65,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,AA,False
76:64:61:f6:e6:14,-31.0,-41.0,-47.0,-57.0,-56.0,-57.0,-53.0,-53.0,-52.0,-47.0,AB,False
76:64:61:f6:e6:14,-40.0,-40.0,-32.0,-48.0,-55.0,-60.0,-56.0,-63.0,-54.0,-51.0,AB,False
76:64:61:f6:e6:14,-38.0,-40.0,-40.0,-38.0,-49.0,-45.0,-57.0,-48.0,-45.0,-49.0,AB,False
76:64:61:f6:e6:14,-38.0,-45.0,-35.0,-39.0,-45.0,-51.0,-52.0,-56.0,-58.0,-52.0,AB,False
76:64:61:f6:e6:14,-36.0,-32.0,-40.0,-47.0,-55.0,-57.0,-54.0,-55.0,-45.0,-48.0,AB,False
76:64:61:f6:e6:14,-35.0,-38.0,-33.0,-51.0,-44.0,-48.0,-62.0,-58.0,-44.0,-44.0,AB,False
76:64:61:f6:e6:14,-43.0,-32.0,-41.0,-41.0,-44.0,-57.0,-58.0,-45.0,-50.0,-57.0,AB,False
76:64:61:f6:e6:14,-34.0,-37.0,-43.0,-37.0,-38.0,-50.0,-50.0,-55.0,-51.0,-52.0,AB,False
76:64:61:f6:e6:14,-38.0,-36.0,-31.0,-47.0,-44.0,-51.0,-61.0,-54.0,-53.0,-50.0,AB,False
76:64:61:f6:e6:14,-38.0,-39.0,-33.0,-43.0,-48.0,-55.0,-56.0,-58.0,-54.0,-50.0,AB,False
76:64:61:f6:e6:14,-33.0,-37.0,-40.0,-48.0,-58.0,-56.0,-51.0,-53.0,-58.0,-55.0,AB,False
76:64:61:f6:e6:14,-37.0,-36.0,-36.0,-46.0,-54.0,-53.0,-58.0,-58.0,-56.0,-49.0,AB,False
76:64:61:f6:e6:14,-34.0,-37.0,-32.0,-45.0,-47.0,-50.0,-53.0,-54.0,-65.0,-50.0,AB,False
76:64:61:f6:e6:14,-38.0,-40.0,-35.0,-29.0,-41.0,-52.0,-62.0,-52.0,-53.0,-52.0,AB,False
76:64:61:f6:e6:14,-34.0,-35.0,-35.0,-40.0,-48.0,-53.0,-60.0,-57.0,-45.0,-50.0,AB,False
76:64:61:f6:e6:14,-42.0,-39.0,-39.0,-45.0,-50.0,-51.0,-61.0,-60.0,-53.0,-49.0,AB,False
76:64:61:f6:e6:14,-34.0,-34.0,-42.0,-46.0,-52.0,-54.0,-56.0,-51.0,-48.0,-47.0,AB,False
76:64:61:f6:e6:14,-38.0,-41.0,-32.0,-47.0,-54.0,-57.0,-56.0,-51.0,-55.0,-50.0,AB,False
76:64:61:f6:e6:14,-34.0,-38.0,-32.0,-46.0,-47.0,-52.0,-54.0,-59.0,-49.0,-51.0,AB,False
76:64:61:f6:e6:14,-38.0,-39.0,-37.0,-46.0,-52.0,-61.0,-60.0,-57.0,-57.0,-55.0,AB,False
76:64:61:f6:e6:14,-40.0,-38.0,-36.0,-47.0,-47.0,-52.0,-56.0,-56.0,-53.0,-47.0,AB,False
76:64:61:f6:e6:14,-33.0,-35.0,-35.0,-48.0,-56.0,-59.0,-53.0,-62.0,-49.0,-49.0,AB,False
76:64:61:f6:e6:14,-38.0,-44.0,-32.0,-36.0,-50.0,-52.0,-56.0,-51.0,-53.0,-52.0,AB,False
76:64:61:f6:e6:14,-34.0,-38.0,-42.0,-37.0,-39.0,-42.0,-53.0,-58.0,-57.0,-56.0,AB,False
76:64:61:f6:e6:14,-37.0,-38.0,-38.0,-33.0,-42.0,-46.0,-57.0,-55.0,-53.0,-52.0,AB,False
76:64:61:f6:e6:14,-33.0,-38.0,-33.0,-31.0,-40.0,-44.0,-49.0,-51.0,-54.0,-53.0,AB,False
76:64:61:f6:e6:14,-38.0,-33.0,-32.0,-40.0,-37.0,-44.0,-52.0,-53.0,-55.0,-50.0,AB,False
76:64:61:f6:e6:14,-38.0,-36.0,-31.0,-39.0,-44.0,-56.0,-52.0,-50.0,-57.0,-54.0,AB,False
76:64:61:f6:e6:14,-35.0,-37.0,-33.0,-32.0,-45.0,-36.0,-45.0,-57.0,-57.0,-50.0,AB,False
76:64:61:f6:e6:14,-40.0,-36.0,-40.0,-45.0,-47.0,-44.0,-48.0,-54.0,-50.0,-55.0,AB,False
e6:53:5c:2a:e8:e2,-46.0,-41.0,-49.0,-54.0,-46.0,-50.0,-46.0,-49.0,-50.0,-52.0,AA,False
e6:53:5c:2a:e8:e2,-40.0,-43.0,-41.0,-42.0,-42.0,-43.0,-44.0,-46.0,-39.0,-41.0,AA,False
e6:53:5c:2a:e8:e2,-36.0,-54.0,-54.0,-51.0,-43.0,-48.0,-45.0,-44.0,-45.0,-41.0,AA,False
e6:53:5c:2a:e8:e2,-42.0,-39.0,-36.0,-45.0,-43.0,-43.0,-45.0,-46.0,-47.0,-46.0,AA,False
e6:53:5c:2a:e8:e2,-46.0,-44.0,-50.0,-47.0,-45.0,-46.0,-49.0,-41.0,-48.0,-52.0,AA,False
e6:53:5c:2a:e8:e2,-37.0,-38.0,-36.0,-37.0,-40.0,-54.0,-51.0,-51.0,-54.0,-53.0,AA,False
e6:53:5c:2a:e8:e2,-46.0,-47.0,-44.0,-44.0,-46.0,-47.0,-42.0,-42.0,-42.0,-42.0,AA,False
e6:53:5c:2a:e8:e2,-44.0,-51.0,-53.0,-53.0,-50.0,-51.0,-44.0,-50.0,-45.0,-45.0,AA,False
e6:53:5c:2a:e8:e2,-42.0,-44.0,-40.0,-38.0,-40.0,-56.0,-53.0,-48.0,-42.0,-42.0,AA,False
e6:53:5c:2a:e8:e2,-37.0,-43.0,-47.0,-45.0,-40.0,-43.0,-41.0,-44.0,-43.0,-47.0,AA,False
e6:53:5c:2a:e8:e2,-47.0,-41.0,-40.0,-46.0,-41.0,-40.0,-44.0,-41.0,-47.0,-47.0,AA,False
e6:53:5c:2a:e8:e2,-41.0,-52.0,-43.0,-43.0,-49.0,-46.0,-45.0,-40.0,-43.0,-43.0,AA,False
e6:53:5c:2a:e8:e2,-47.0,-44.0,-44.0,-45.0,-47.0,-45.0,-46.0,-48.0,-43.0,-43.0,AA,False
e6:53:5c:2a:e8:e2,-43.0,-44.0,-41.0,-44.0,-48.0,-46.0,-52.0,-44.0,-52.0,-46.0,AA,False
e6:53:5c:2a:e8:e2,-43.0,-44.0,-53.0,-48.0,-49.0,-48.0,-52.0,-42.0,-43.0,-40.0,AA,False
e6:53:5c:2a:e8:e2,-41.0,-44.0,-44.0,-45.0,-49.0,-47.0,-46.0,-45.0,-46.0,-45.0,AA,False
e6:53:5c:2a:e8:e2,-46.0,-54.0,-44.0,-41.0,-42.0,-42.0,-45.0,-40.0,-40.0,-41.0,AA,False
e6:53:5c:2a:e8:e2,-42.0,-38.0,-44.0,-40.0,-42.0,-43.0,-46.0,-41.0,-39.0,-40.0,AA,False
e6:53:5c:2a:e8:e2,-44.0,-48.0,-43.0,-52.0,-50.0,-58.0,-48.0,-54.0,-50.0,-51.0,AA,False
