mac,1,2,3,4,5,6,7,8,9,10,label,noise
04:b1:67:ac:8d:65,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,BB,True
04:b1:67:ac:8d:65,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-64.0,-71.0,-64.0,BB,True
04:b1:67:ac:8d:65,-71.0,-71.0,-71.0,-71.0,-71.0,-71.0,-71.0,-71.0,-71.0,-71.0,BB,True
04:b1:67:ac:8d:65,-67.0,-67.0,-67.0,-67.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,BB,True
04:b1:67:ac:8d:65,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,BB,True
04:b1:67:ac:8d:65,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-61.0,-65.0,-62.0,BB,True
04:b1:67:ac:8d:65,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,BB,True
04:b1:67:ac:8d:65,-61.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,BB,True
04:b1:67:ac:8d:65,-56.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,BB,True
04:b1:67:ac:8d:65,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,BB,True
04:b1:67:ac:8d:65,-60.0,-60.0,-60.0,-60.0,-51.0,-48.0,-48.0,-48.0,-48.0,-48.0,BB,True
04:b1:67:ac:8d:65,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-66.0,-70.0,-70.0,BB,True
04:b1:67:ac:8d:65,-54.0,-54.0,-54.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,BB,True
04:b1:67:ac:8d:65,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,BB,True
04:b1:67:ac:8d:65,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,BB,True
04:b1:67:ac:8d:65,-59.0,-49.0,-49.0,-49.0,-49.0,-45.0,-49.0,-49.0,-49.0,-49.0,BB,True
00:be:3b:9e:7f:14,-34.0,-36.0,-37.0,-38.0,-38.0,-40.0,-38.0,-38.0,-41.0,-39.0,AA,True
00:be:3b:9e:7f:14,-37.0,-43.0,-36.0,-39.0,-41.0,-39.0,-39.0,-48.0,-39.0,-41.0,AA,True
00:be:3b:9e:7f:14,-39.0,-38.0,-39.0,-39.0,-41.0,-41.0,-35.0,-37.0,-36.0,-36.0,AA,True
00:be:3b:9e:7f:14,-43.0,-35.0,-38.0,-36.0,-36.0,-36.0,-36.0,-37.0,-38.0,-35.0,AA,True
00:be:3b:9e:7f:14,-35.0,-35.0,-37.0,-37.0,-36.0,-36.0,-38.0,-36.0,-37.0,-37.0,AA,True
00:be:3b:9e:7f:14,-37.0,-37.0,-38.0,-37.0,-36.0,-33.0,-37.0,-36.0,-37.0,-37.0,AA,True
00:be:3b:9e:7f:14,-37.0,-37.0,-45.0,-50.0,-36.0,-36.0,-36.0,-36.0,-36.0,-50.0,AA,True
00:be:3b:9e:7f:14,-50.0,-36.0,-36.0,-37.0,-38.0,-36.0,-37.0,-36.0,-37.0,-38.0,AA,True
00:be:3b:9e:7f:14,-50.0,-35.0,-35.0,-36.0,-50.0,-50.0,-36.0,-36.0,-36.0,-37.0,AA,True
00:be:3b:9e:7f:14,-35.0,-35.0,-37.0,-36.0,-36.0,-37.0,-40.0,-38.0,-37.0,-38.0,AA,True
00:be:3b:9e:7f:14,-38.0,-38.0,-41.0,-41.0,-38.0,-39.0,-39.0,-38.0,-38.0,-39.0,AA,True
00:be:3b:9e:7f:14,-40.0,-41.0,-44.0,-45.0,-43.0,-43.0,-42.0,-43.0,-44.0,-44.0,AA,True
00:be:3b:9e:7f:14,-39.0,-37.0,-37.0,-35.0,-37.0,-38.0,-36.0,-37.0,-35.0,-36.0,AA,True
00:be:3b:9e:7f:14,-40.0,-38.0,-38.0,-40.0,-40.0,-52.0,-53.0,-52.0,-53.0,-54.0,AA,True
00:be:3b:9e:7f:14,-54.0,-53.0,-55.0,-56.0,-54.0,-53.0,-53.0,-50.0,-55.0,-56.0,AA,True
00:be:3b:9e:7f:14,-55.0,-55.0,-54.0,-56.0,-55.0,-54.0,-55.0,-54.0,-56.0,-54.0,AA,True
00:be:3b:9e:7f:14,-52.0,-55.0,-52.0,-36.0,-38.0,-38.0,-37.0,-40.0,-39.0,-38.0,AA,True
00:be:3b:9e:7f:14,-38.0,-39.0,-38.0,-37.0,-40.0,-38.0,-38.0,-38.0,-38.0,-40.0,AA,True
00:be:3b:9e:7f:14,-38.0,-38.0,-38.0,-39.0,-38.0,-41.0,-38.0,-38.0,-39.0,-38.0,AA,True
00:be:3b:9e:7f:14,-37.0,-36.0,-36.0,-37.0,-37.0,-41.0,-40.0,-37.0,-37.0,-38.0,AA,True
00:be:3b:9e:7f:14,-37.0,-37.0,-38.0,-40.0,-39.0,-53.0,-53.0,-39.0,-39.0,-39.0,AA,True
00:be:3b:9e:7f:14,-37.0,-39.0,-37.0,-37.0,-38.0,-37.0,-39.0,-39.0,-37.0,-38.0,AA,True
00:be:3b:9e:7f:14,-37.0,-38.0,-38.0,-39.0,-38.0,-41.0,-36.0,-37.0,-38.0,-36.0,AA,True
