mac,1,2,3,4,5,6,7,8,9,10,label
76:64:61:f6:e6:14,-36.0,-45.0,-33.0,-45.0,-63.0,-61.0,-57.0,-51.0,-52.0,-60.0,AB
76:64:61:f6:e6:14,-45.0,-35.0,-34.0,-59.0,-55.0,-62.0,-62.0,-53.0,-52.0,-60.0,AB
76:64:61:f6:e6:14,-45.0,-44.0,-33.0,-49.0,-66.0,-57.0,-62.0,-58.0,-54.0,-59.0,AB
76:64:61:f6:e6:14,-31.0,-37.0,-43.0,-56.0,-66.0,-63.0,-65.0,-53.0,-61.0,-56.0,AB
76:64:61:f6:e6:14,-35.0,-35.0,-37.0,-63.0,-62.0,-62.0,-53.0,-49.0,-59.0,-60.0,AB
76:64:61:f6:e6:14,-36.0,-33.0,-37.0,-46.0,-59.0,-69.0,-53.0,-61.0,-50.0,-53.0,AB
76:64:61:f6:e6:14,-36.0,-35.0,-41.0,-55.0,-58.0,-57.0,-56.0,-50.0,-57.0,-55.0,AB
76:64:61:f6:e6:14,-37.0,-37.0,-49.0,-61.0,-71.0,-52.0,-60.0,-60.0,-55.0,-51.0,AB
76:64:61:f6:e6:14,-36.0,-34.0,-35.0,-55.0,-68.0,-55.0,-59.0,-50.0,-53.0,-53.0,AB
76:64:61:f6:e6:14,-36.0,-37.0,-35.0,-38.0,-49.0,-57.0,-59.0,-56.0,-56.0,-50.0,AB
76:64:61:f6:e6:14,-35.0,-32.0,-32.0,-54.0,-57.0,-56.0,-62.0,-56.0,-54.0,-50.0,AB
76:64:61:f6:e6:14,-36.0,-35.0,-32.0,-35.0,-59.0,-70.0,-56.0,-49.0,-57.0,-58.0,AB
76:64:61:f6:e6:14,-46.0,-34.0,-43.0,-58.0,-57.0,-56.0,-54.0,-53.0,-59.0,-47.0,AB
76:64:61:f6:e6:14,-34.0,-37.0,-28.0,-53.0,-62.0,-64.0,-55.0,-57.0,-59.0,-52.0,AB
76:64:61:f6:e6:14,-38.0,-36.0,-29.0,-57.0,-58.0,-63.0,-61.0,-66.0,-51.0,-49.0,AB
04:b1:67:ac:8d:65,-70.0,-64.0,-59.0,-54.0,-60.0,-56.0,-48.0,-59.0,-58.0,-45.0,BA
04:b1:67:ac:8d:65,-63.0,-58.0,-53.0,-51.0,-51.0,-57.0,-55.0,-49.0,-61.0,-55.0,BA
04:b1:67:ac:8d:65,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,BA
04:b1:67:ac:8d:65,-72.0,-72.0,-63.0,-58.0,-54.0,-59.0,-59.0,-59.0,-59.0,-59.0,BA
04:b1:67:ac:8d:65,-64.0,-60.0,-67.0,-53.0,-49.0,-63.0,-57.0,-61.0,-54.0,-56.0,BA
04:b1:67:ac:8d:65,-69.0,-62.0,-62.0,-53.0,-60.0,-55.0,-61.0,-54.0,-59.0,-57.0,BA
04:b1:67:ac:8d:65,-61.0,-66.0,-55.0,-66.0,-54.0,-61.0,-62.0,-67.0,-60.0,-63.0,BA
04:b1:67:ac:8d:65,-63.0,-64.0,-64.0,-64.0,-64.0,-55.0,-55.0,-55.0,-54.0,-51.0,BA
04:b1:67:ac:8d:65,-61.0,-61.0,-66.0,-51.0,-53.0,-55.0,-60.0,-62.0,-49.0,-55.0,BA
04:b1:67:ac:8d:65,-71.0,-66.0,-66.0,-66.0,-66.0,-51.0,-58.0,-58.0,-58.0,-58.0,BA
04:b1:67:ac:8d:65,-69.0,-63.0,-64.0,-62.0,-53.0,-56.0,-55.0,-53.0,-54.0,-53.0,BA
04:b1:67:ac:8d:65,-65.0,-75.0,-64.0,-56.0,-55.0,-55.0,-54.0,-65.0,-61.0,-54.0,BA
04:b1:67:ac:8d:65,-63.0,-66.0,-61.0,-57.0,-54.0,-54.0,-55.0,-57.0,-52.0,-50.0,BA
04:b1:67:ac:8d:65,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,BA
04:b1:67:ac:8d:65,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,BA
04:b1:67:ac:8d:65,-59.0,-63.0,-58.0,-56.0,-57.0,-47.0,-57.0,-53.0,-49.0,-65.0,BA
04:b1:67:ac:8d:65,-59.0,-61.0,-67.0,-66.0,-62.0,-52.0,-52.0,-52.0,-52.0,-52.0,BA
04:b1:67:ac:8d:65,-61.0,-60.0,-66.0,-65.0,-59.0,-48.0,-52.0,-61.0,-55.0,-53.0,BA
04:b1:67:ac:8d:65,-61.0,-60.0,-57.0,-66.0,-55.0,-46.0,-63.0,-55.0,-60.0,-54.0,BA
04:b1:67:ac:8d:65,-78.0,-63.0,-60.0,-67.0,-47.0,-49.0,-59.0,-68.0,-58.0,-57.0,BA
