mac,1,2,3,4,5,6,7,8,9,10,label,noise_label
76:64:61:f6:e6:14,-36.0,-32.0,-46.0,-49.0,-53.0,-54.0,-48.0,-47.0,-45.0,-41.0,AB,True
76:64:61:f6:e6:14,-34.0,-37.0,-42.0,-51.0,-58.0,-50.0,-52.0,-46.0,-49.0,-48.0,AB,True
76:64:61:f6:e6:14,-38.0,-38.0,-40.0,-55.0,-55.0,-45.0,-49.0,-47.0,-47.0,-48.0,AB,True
76:64:61:f6:e6:14,-37.0,-38.0,-39.0,-55.0,-52.0,-59.0,-52.0,-54.0,-48.0,-45.0,AB,True
76:64:61:f6:e6:14,-37.0,-36.0,-44.0,-48.0,-60.0,-55.0,-45.0,-50.0,-46.0,-49.0,AB,True
76:64:61:f6:e6:14,-33.0,-36.0,-49.0,-52.0,-56.0,-54.0,-49.0,-46.0,-45.0,-43.0,AB,True
76:64:61:f6:e6:14,-34.0,-36.0,-36.0,-55.0,-56.0,-62.0,-50.0,-53.0,-53.0,-47.0,AB,True
76:64:61:f6:e6:14,-36.0,-35.0,-38.0,-51.0,-62.0,-57.0,-58.0,-45.0,-48.0,-45.0,AB,True
76:64:61:f6:e6:14,-34.0,-37.0,-41.0,-50.0,-49.0,-55.0,-51.0,-46.0,-43.0,-45.0,AB,True
76:64:61:f6:e6:14,-33.0,-38.0,-45.0,-54.0,-58.0,-54.0,-50.0,-55.0,-48.0,-46.0,AB,True
76:64:61:f6:e6:14,-34.0,-41.0,-45.0,-54.0,-55.0,-58.0,-52.0,-46.0,-48.0,-49.0,AB,True
76:64:61:f6:e6:14,-36.0,-34.0,-50.0,-51.0,-57.0,-52.0,-52.0,-53.0,-48.0,-49.0,AB,True
76:64:61:f6:e6:14,-25.0,-37.0,-42.0,-50.0,-58.0,-52.0,-50.0,-50.0,-47.0,-45.0,AB,True
76:64:61:f6:e6:14,-32.0,-34.0,-45.0,-53.0,-53.0,-58.0,-57.0,-51.0,-50.0,-47.0,AB,True
76:64:61:f6:e6:14,-37.0,-35.0,-46.0,-50.0,-52.0,-51.0,-45.0,-41.0,-45.0,-48.0,AB,True
e6:53:5c:2a:e8:e2,-56.0,-52.0,-48.0,-48.0,-40.0,-44.0,-38.0,-47.0,-42.0,-44.0,BA,True
e6:53:5c:2a:e8:e2,-49.0,-57.0,-46.0,-54.0,-37.0,-40.0,-43.0,-53.0,-47.0,-43.0,BA,True
e6:53:5c:2a:e8:e2,-52.0,-54.0,-55.0,-51.0,-41.0,-45.0,-46.0,-42.0,-43.0,-38.0,BA,True
e6:53:5c:2a:e8:e2,-52.0,-53.0,-47.0,-58.0,-45.0,-44.0,-43.0,-43.0,-45.0,-42.0,BA,True
e6:53:5c:2a:e8:e2,-55.0,-52.0,-55.0,-54.0,-48.0,-39.0,-38.0,-44.0,-42.0,-43.0,BA,True
e6:53:5c:2a:e8:e2,-54.0,-48.0,-51.0,-52.0,-33.0,-37.0,-40.0,-38.0,-37.0,-34.0,BA,True
e6:53:5c:2a:e8:e2,-53.0,-50.0,-53.0,-47.0,-52.0,-41.0,-42.0,-43.0,-50.0,-43.0,BA,True
e6:53:5c:2a:e8:e2,-50.0,-48.0,-48.0,-43.0,-36.0,-40.0,-47.0,-39.0,-41.0,-41.0,BA,True
e6:53:5c:2a:e8:e2,-51.0,-50.0,-51.0,-51.0,-39.0,-46.0,-47.0,-47.0,-41.0,-42.0,BA,True
e6:53:5c:2a:e8:e2,-54.0,-52.0,-51.0,-51.0,-45.0,-50.0,-43.0,-49.0,-45.0,-37.0,BA,True
e6:53:5c:2a:e8:e2,-58.0,-56.0,-51.0,-47.0,-37.0,-38.0,-50.0,-57.0,-47.0,-43.0,BA,True
e6:53:5c:2a:e8:e2,-56.0,-50.0,-52.0,-48.0,-35.0,-41.0,-42.0,-41.0,-44.0,-43.0,BA,True
e6:53:5c:2a:e8:e2,-50.0,-55.0,-51.0,-53.0,-48.0,-43.0,-42.0,-40.0,-52.0,-45.0,BA,True
e6:53:5c:2a:e8:e2,-52.0,-52.0,-60.0,-36.0,-45.0,-40.0,-41.0,-44.0,-43.0,-43.0,BA,True
e6:53:5c:2a:e8:e2,-52.0,-54.0,-53.0,-54.0,-47.0,-40.0,-51.0,-47.0,-47.0,-44.0,BA,True
e6:53:5c:2a:e8:e2,-54.0,-54.0,-60.0,-48.0,-50.0,-43.0,-44.0,-38.0,-49.0,-38.0,BA,True
e6:53:5c:2a:e8:e2,-52.0,-54.0,-55.0,-46.0,-46.0,-50.0,-54.0,-44.0,-43.0,-43.0,BA,True
e6:53:5c:2a:e8:e2,-55.0,-57.0,-57.0,-59.0,-40.0,-36.0,-49.0,-52.0,-47.0,-46.0,BA,True
e6:53:5c:2a:e8:e2,-55.0,-50.0,-48.0,-55.0,-44.0,-41.0,-43.0,-50.0,-38.0,-40.0,BA,True
e6:53:5c:2a:e8:e2,-52.0,-50.0,-51.0,-47.0,-40.0,-36.0,-49.0,-52.0,-42.0,-38.0,BA,True
e6:53:5c:2a:e8:e2,-57.0,-52.0,-63.0,-49.0,-47.0,-37.0,-52.0,-49.0,-44.0,-40.0,BA,True
e6:53:5c:2a:e8:e2,-61.0,-55.0,-48.0,-45.0,-47.0,-52.0,-50.0,-51.0,-43.0,-45.0,BA,True
e6:53:5c:2a:e8:e2,-58.0,-56.0,-49.0,-47.0,-46.0,-43.0,-47.0,-50.0,-44.0,-43.0,BA,True
e6:53:5c:2a:e8:e2,-53.0,-46.0,-47.0,-54.0,-39.0,-38.0,-36.0,-38.0,-39.0,-37.0,BA,True
e6:53:5c:2a:e8:e2,-55.0,-60.0,-59.0,-43.0,-43.0,-33.0,-49.0,-38.0,-40.0,-38.0,BA,True
e6:53:5c:2a:e8:e2,-53.0,-51.0,-51.0,-44.0,-47.0,-47.0,-53.0,-46.0,-42.0,-45.0,BA,True
e6:53:5c:2a:e8:e2,-55.0,-55.0,-59.0,-47.0,-44.0,-48.0,-57.0,-46.0,-42.0,-44.0,BA,True
e6:53:5c:2a:e8:e2,-51.0,-53.0,-47.0,-43.0,-38.0,-37.0,-44.0,-52.0,-44.0,-47.0,BA,True
e6:53:5c:2a:e8:e2,-56.0,-49.0,-51.0,-51.0,-51.0,-40.0,-41.0,-48.0,-51.0,-44.0,BA,True
e6:53:5c:2a:e8:e2,-65.0,-57.0,-60.0,-46.0,-47.0,-44.0,-46.0,-53.0,-48.0,-50.0,BA,True
2e:ad:62:53:35:66,-48.0,-41.0,-46.0,-56.0,-58.0,-58.0,-57.0,-56.0,-54.0,-57.0,AB,True
2e:ad:62:53:35:66,-31.0,-45.0,-35.0,-61.0,-63.0,-55.0,-59.0,-57.0,-57.0,-48.0,AB,True
2e:ad:62:53:35:66,-35.0,-33.0,-43.0,-66.0,-52.0,-59.0,-55.0,-48.0,-55.0,-63.0,AB,True
