mac,1,2,3,4,5,6,7,8,9,10,label,noise_label
76:64:61:f6:e6:14,-49.0,-48.0,-46.0,-47.0,-53.0,-48.0,-49.0,-45.0,-44.0,-51.0,BB,True
76:64:61:f6:e6:14,-54.0,-43.0,-47.0,-51.0,-47.0,-48.0,-50.0,-44.0,-45.0,-48.0,BB,True
76:64:61:f6:e6:14,-50.0,-50.0,-50.0,-46.0,-47.0,-47.0,-45.0,-47.0,-45.0,-45.0,BB,True
76:64:61:f6:e6:14,-52.0,-58.0,-60.0,-50.0,-55.0,-46.0,-47.0,-53.0,-48.0,-51.0,BB,True
76:64:61:f6:e6:14,-45.0,-49.0,-47.0,-48.0,-48.0,-46.0,-54.0,-52.0,-48.0,-50.0,BB,True
76:64:61:f6:e6:14,-45.0,-47.0,-47.0,-49.0,-51.0,-53.0,-55.0,-47.0,-48.0,-41.0,BB,True
76:64:61:f6:e6:14,-51.0,-44.0,-47.0,-55.0,-57.0,-48.0,-48.0,-48.0,-45.0,-52.0,BB,True
76:64:61:f6:e6:14,-49.0,-53.0,-52.0,-53.0,-57.0,-52.0,-47.0,-50.0,-48.0,-50.0,BB,True
76:64:61:f6:e6:14,-54.0,-58.0,-56.0,-49.0,-42.0,-49.0,-50.0,-57.0,-52.0,-53.0,BB,True
76:64:61:f6:e6:14,-46.0,-46.0,-49.0,-53.0,-46.0,-47.0,-51.0,-46.0,-44.0,-48.0,BB,True
76:64:61:f6:e6:14,-44.0,-44.0,-44.0,-44.0,-46.0,-45.0,-43.0,-44.0,-43.0,-45.0,BB,True
76:64:61:f6:e6:14,-51.0,-51.0,-50.0,-53.0,-48.0,-51.0,-48.0,-49.0,-49.0,-52.0,BB,True
76:64:61:f6:e6:14,-42.0,-46.0,-45.0,-47.0,-55.0,-57.0,-55.0,-47.0,-46.0,-54.0,BB,True
76:64:61:f6:e6:14,-48.0,-46.0,-43.0,-45.0,-47.0,-53.0,-52.0,-48.0,-49.0,-48.0,BB,True
76:64:61:f6:e6:14,-51.0,-46.0,-48.0,-48.0,-48.0,-47.0,-47.0,-50.0,-45.0,-46.0,BB,True
e6:53:5c:2a:e8:e2,-38.0,-42.0,-37.0,-36.0,-42.0,-57.0,-54.0,-53.0,-59.0,-60.0,AB,True
e6:53:5c:2a:e8:e2,-41.0,-46.0,-38.0,-48.0,-64.0,-47.0,-48.0,-51.0,-48.0,-59.0,AB,True
e6:53:5c:2a:e8:e2,-37.0,-42.0,-42.0,-45.0,-52.0,-58.0,-54.0,-62.0,-67.0,-61.0,AB,True
e6:53:5c:2a:e8:e2,-34.0,-43.0,-46.0,-47.0,-53.0,-51.0,-49.0,-48.0,-48.0,-52.0,AB,True
e6:53:5c:2a:e8:e2,-40.0,-42.0,-43.0,-40.0,-53.0,-51.0,-67.0,-61.0,-64.0,-67.0,AB,True
e6:53:5c:2a:e8:e2,-42.0,-46.0,-47.0,-50.0,-51.0,-48.0,-54.0,-52.0,-52.0,-54.0,AB,True
e6:53:5c:2a:e8:e2,-40.0,-43.0,-46.0,-51.0,-52.0,-57.0,-62.0,-58.0,-57.0,-58.0,AB,True
e6:53:5c:2a:e8:e2,-38.0,-43.0,-42.0,-46.0,-58.0,-62.0,-66.0,-64.0,-65.0,-56.0,AB,True
e6:53:5c:2a:e8:e2,-37.0,-46.0,-46.0,-43.0,-52.0,-61.0,-68.0,-60.0,-62.0,-50.0,AB,True
e6:53:5c:2a:e8:e2,-35.0,-42.0,-42.0,-42.0,-57.0,-63.0,-64.0,-62.0,-63.0,-63.0,AB,True
e6:53:5c:2a:e8:e2,-35.0,-45.0,-44.0,-53.0,-58.0,-59.0,-59.0,-61.0,-54.0,-56.0,AB,True
e6:53:5c:2a:e8:e2,-49.0,-37.0,-40.0,-46.0,-59.0,-61.0,-62.0,-61.0,-58.0,-57.0,AB,True
e6:53:5c:2a:e8:e2,-43.0,-46.0,-45.0,-41.0,-44.0,-62.0,-58.0,-57.0,-58.0,-63.0,AB,True
