mac,1,2,3,4,5,6,7,8,9,10,label,noise_label
e6:53:5c:2a:e8:e2,-37.0,-45.0,-46.0,-52.0,-44.0,-41.0,-39.0,-45.0,-42.0,-45.0,LoopA,True
e6:53:5c:2a:e8:e2,-39.0,-42.0,-42.0,-56.0,-58.0,-57.0,-52.0,-49.0,-47.0,-47.0,LoopA,True
e6:53:5c:2a:e8:e2,-38.0,-41.0,-46.0,-38.0,-38.0,-39.0,-45.0,-44.0,-49.0,-48.0,LoopA,True
e6:53:5c:2a:e8:e2,-38.0,-45.0,-38.0,-37.0,-49.0,-42.0,-43.0,-42.0,-41.0,-34.0,LoopA,True
e6:53:5c:2a:e8:e2,-42.0,-36.0,-40.0,-44.0,-47.0,-53.0,-48.0,-47.0,-53.0,-49.0,LoopA,True
e6:53:5c:2a:e8:e2,-38.0,-35.0,-39.0,-45.0,-42.0,-45.0,-40.0,-42.0,-43.0,-43.0,LoopA,True
e6:53:5c:2a:e8:e2,-42.0,-39.0,-45.0,-48.0,-45.0,-41.0,-55.0,-58.0,-58.0,-62.0,LoopA,True
e6:53:5c:2a:e8:e2,-44.0,-36.0,-43.0,-42.0,-48.0,-43.0,-48.0,-40.0,-42.0,-47.0,LoopA,True
e6:53:5c:2a:e8:e2,-33.0,-40.0,-50.0,-50.0,-51.0,-48.0,-46.0,-44.0,-43.0,-44.0,LoopA,True
e6:53:5c:2a:e8:e2,-46.0,-41.0,-42.0,-47.0,-47.0,-53.0,-48.0,-47.0,-39.0,-47.0,LoopA,True
e6:53:5c:2a:e8:e2,-33.0,-44.0,-49.0,-58.0,-51.0,-45.0,-46.0,-43.0,-44.0,-47.0,LoopA,True
e6:53:5c:2a:e8:e2,-47.0,-44.0,-43.0,-39.0,-46.0,-49.0,-43.0,-43.0,-43.0,-46.0,LoopA,True
e6:53:5c:2a:e8:e2,-41.0,-41.0,-38.0,-44.0,-44.0,-47.0,-44.0,-47.0,-39.0,-36.0,LoopA,True
e6:53:5c:2a:e8:e2,-39.0,-36.0,-41.0,-60.0,-53.0,-50.0,-50.0,-52.0,-41.0,-48.0,LoopA,True
e6:53:5c:2a:e8:e2,-46.0,-51.0,-50.0,-46.0,-44.0,-43.0,-39.0,-37.0,-40.0,-40.0,LoopA,True
04:b1:67:ac:8d:65,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,LoopA,True
04:b1:67:ac:8d:65,-50.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,LoopA,True
04:b1:67:ac:8d:65,-44.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,LoopA,True
04:b1:67:ac:8d:65,-49.0,-49.0,-48.0,-53.0,-40.0,-40.0,-40.0,-43.0,-43.0,-43.0,LoopA,True
04:b1:67:ac:8d:65,-45.0,-45.0,-45.0,-45.0,-45.0,-63.0,-63.0,-63.0,-48.0,-48.0,LoopA,True
04:b1:67:ac:8d:65,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,LoopA,True
04:b1:67:ac:8d:65,-43.0,-43.0,-43.0,-43.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,LoopA,True
04:b1:67:ac:8d:65,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,LoopA,True
04:b1:67:ac:8d:65,-46.0,-38.0,-37.0,-41.0,-44.0,-40.0,-42.0,-45.0,-45.0,-45.0,LoopA,True
04:b1:67:ac:8d:65,-45.0,-45.0,-45.0,-57.0,-57.0,-61.0,-61.0,-61.0,-61.0,-39.0,LoopA,True
04:b1:67:ac:8d:65,-39.0,-39.0,-39.0,-39.0,-39.0,-43.0,-43.0,-43.0,-43.0,-43.0,LoopA,True
04:b1:67:ac:8d:65,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,LoopA,True
04:b1:67:ac:8d:65,-45.0,-47.0,-47.0,-47.0,-47.0,-41.0,-44.0,-46.0,-46.0,-46.0,LoopA,True
04:b1:67:ac:8d:65,-46.0,-46.0,-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,LoopA,True
04:b1:67:ac:8d:65,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-41.0,LoopA,True
04:b1:67:ac:8d:65,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-45.0,LoopA,True
04:b1:67:ac:8d:65,-42.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,LoopA,True
04:b1:67:ac:8d:65,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-43.0,-43.0,LoopA,True
04:b1:67:ac:8d:65,-44.0,-45.0,-45.0,-45.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,LoopA,True
04:b1:67:ac:8d:65,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,LoopA,True
