mac,1,2,3,4,5,6,7,8,9,10,label,noise_label
76:64:61:f6:e6:14,-33.0,-34.0,-43.0,-34.0,-49.0,-54.0,-55.0,-59.0,-59.0,-52.0,AB,True
76:64:61:f6:e6:14,-31.0,-37.0,-36.0,-35.0,-43.0,-57.0,-56.0,-63.0,-62.0,-50.0,AB,True
76:64:61:f6:e6:14,-35.0,-34.0,-42.0,-31.0,-41.0,-26.0,-42.0,-61.0,-58.0,-62.0,AB,True
76:64:61:f6:e6:14,-32.0,-39.0,-48.0,-40.0,-53.0,-59.0,-58.0,-58.0,-60.0,-57.0,AB,True
76:64:61:f6:e6:14,-41.0,-31.0,-33.0,-25.0,-40.0,-65.0,-61.0,-59.0,-57.0,-50.0,AB,True
76:64:61:f6:e6:14,-44.0,-32.0,-34.0,-28.0,-49.0,-59.0,-56.0,-67.0,-62.0,-66.0,AB,True
76:64:61:f6:e6:14,-33.0,-28.0,-32.0,-54.0,-62.0,-60.0,-56.0,-57.0,-53.0,-51.0,AB,True
76:64:61:f6:e6:14,-39.0,-36.0,-36.0,-30.0,-42.0,-59.0,-57.0,-56.0,-58.0,-52.0,AB,True
76:64:61:f6:e6:14,-44.0,-34.0,-28.0,-40.0,-56.0,-65.0,-53.0,-58.0,-49.0,-52.0,AB,True
76:64:61:f6:e6:14,-34.0,-29.0,-33.0,-51.0,-66.0,-54.0,-58.0,-52.0,-49.0,-53.0,AB,True
76:64:61:f6:e6:14,-34.0,-39.0,-28.0,-40.0,-50.0,-58.0,-59.0,-58.0,-49.0,-58.0,AB,True
76:64:61:f6:e6:14,-33.0,-33.0,-34.0,-39.0,-29.0,-39.0,-56.0,-57.0,-66.0,-56.0,AB,True
76:64:61:f6:e6:14,-37.0,-37.0,-42.0,-40.0,-36.0,-60.0,-58.0,-69.0,-60.0,-53.0,AB,True
76:64:61:f6:e6:14,-36.0,-32.0,-42.0,-28.0,-57.0,-62.0,-67.0,-62.0,-51.0,-46.0,AB,True
76:64:61:f6:e6:14,-34.0,-39.0,-28.0,-35.0,-41.0,-50.0,-57.0,-59.0,-70.0,-52.0,AB,True
76:64:61:f6:e6:14,-44.0,-35.0,-32.0,-34.0,-49.0,-61.0,-60.0,-68.0,-48.0,-55.0,AB,True
86:1d:1e:e5:49:5a,-39.0,-37.0,-35.0,-43.0,-60.0,-58.0,-64.0,-56.0,-52.0,-55.0,AB,True
86:1d:1e:e5:49:5a,-38.0,-36.0,-50.0,-58.0,-59.0,-58.0,-58.0,-61.0,-61.0,-49.0,AB,True
86:1d:1e:e5:49:5a,-34.0,-45.0,-34.0,-45.0,-54.0,-56.0,-56.0,-60.0,-63.0,-53.0,AB,True
86:1d:1e:e5:49:5a,-45.0,-37.0,-38.0,-36.0,-54.0,-63.0,-68.0,-62.0,-55.0,-59.0,AB,True
86:1d:1e:e5:49:5a,-41.0,-49.0,-35.0,-37.0,-37.0,-58.0,-56.0,-58.0,-69.0,-63.0,AB,True
86:1d:1e:e5:49:5a,-46.0,-40.0,-36.0,-42.0,-52.0,-55.0,-57.0,-59.0,-61.0,-67.0,AB,True
86:1d:1e:e5:49:5a,-45.0,-39.0,-39.0,-43.0,-40.0,-41.0,-51.0,-58.0,-59.0,-54.0,AB,True
86:1d:1e:e5:49:5a,-40.0,-36.0,-43.0,-46.0,-57.0,-62.0,-62.0,-61.0,-58.0,-57.0,AB,True
86:1d:1e:e5:49:5a,-44.0,-40.0,-37.0,-40.0,-48.0,-68.0,-66.0,-64.0,-64.0,-59.0,AB,True
86:1d:1e:e5:49:5a,-54.0,-39.0,-39.0,-36.0,-48.0,-55.0,-56.0,-59.0,-56.0,-59.0,AB,True
86:1d:1e:e5:49:5a,-45.0,-43.0,-48.0,-56.0,-55.0,-61.0,-55.0,-60.0,-66.0,-56.0,AB,True
86:1d:1e:e5:49:5a,-44.0,-37.0,-40.0,-42.0,-54.0,-60.0,-59.0,-60.0,-61.0,-59.0,AB,True
86:1d:1e:e5:49:5a,-38.0,-36.0,-39.0,-50.0,-54.0,-54.0,-60.0,-57.0,-56.0,-53.0,AB,True
86:1d:1e:e5:49:5a,-38.0,-34.0,-41.0,-57.0,-62.0,-57.0,-59.0,-55.0,-61.0,-58.0,AB,True
86:1d:1e:e5:49:5a,-41.0,-41.0,-37.0,-48.0,-57.0,-54.0,-60.0,-60.0,-60.0,-53.0,AB,True
86:1d:1e:e5:49:5a,-46.0,-38.0,-38.0,-38.0,-40.0,-46.0,-54.0,-69.0,-60.0,-57.0,AB,True
86:1d:1e:e5:49:5a,-52.0,-45.0,-48.0,-32.0,-37.0,-58.0,-59.0,-59.0,-62.0,-62.0,AB,True
86:1d:1e:e5:49:5a,-43.0,-43.0,-36.0,-38.0,-52.0,-65.0,-59.0,-59.0,-54.0,-53.0,AB,True
86:1d:1e:e5:49:5a,-40.0,-38.0,-40.0,-45.0,-32.0,-48.0,-67.0,-56.0,-63.0,-55.0,AB,True
86:1d:1e:e5:49:5a,-33.0,-39.0,-36.0,-43.0,-51.0,-50.0,-55.0,-56.0,-45.0,-47.0,AB,True
