Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s,AA_precision,AA_recall,AA_f1,AA_support,BB_precision,BB_recall,BB_f1,BB_support,BA_precision,BA_recall,BA_f1,BA_support,AB_precision,AB_recall,AB_f1,AB_support,Confusion_Matrix,CM_AA_pred_AA,CM_AA_pred_BB,CM_AA_pred_BA,CM_AA_pred_AB,CM_BB_pred_AA,CM_BB_pred_BB,CM_BB_pred_BA,CM_BB_pred_AB,CM_BA_pred_AA,CM_BA_pred_BB,CM_BA_pred_BA,CM_BA_pred_AB,CM_AB_pred_AA,CM_AB_pred_BB,CM_AB_pred_BA,CM_AB_pred_AB,FeatImp_1,FeatImp_2,FeatImp_3,FeatImp_4,FeatImp_5,FeatImp_6,FeatImp_7,FeatImp_8,FeatImp_9,FeatImp_10
Bagging,0.85,0.8500000000000001,0.8562271518777003,0.85,0.850356036385448,0.8016905286654681,0.783447862129145,0.040482110282163496,6.128249406814575,0.8166666666666667,0.8166666666666667,0.8166666666666667,60.0,0.847457627118644,0.8333333333333334,0.8403361344537815,60.0,0.9607843137254902,0.8166666666666667,0.8828828828828829,60.0,0.8,0.9333333333333333,0.8615384615384616,60.0,"[[49, 5, 2, 4], [7, 50, 0, 3], [3, 1, 49, 7], [1, 3, 0, 56]]",49,5,2,4,7,50,0,3,3,1,49,7,1,3,0,56,,,,,,,,,,
VotingEnsemble,0.8416666666666667,0.8416666666666668,0.8495880495880497,0.8416666666666667,0.8416619907978903,0.7916055323134338,0.8002126963350786,0.023473722329248926,6.10713005065918,0.8518518518518519,0.7666666666666667,0.8070175438596491,60.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,60.0,0.9230769230769231,0.8,0.8571428571428571,60.0,0.7567567567567568,0.9333333333333333,0.835820895522388,60.0,"[[46, 4, 4, 6], [5, 52, 0, 3], [2, 1, 48, 9], [1, 3, 0, 56]]",46,4,4,6,5,52,0,3,2,1,48,9,1,3,0,56,,,,,,,,,,
CatBoost,0.8375,0.8375,0.8410791006799128,0.8375,0.8374349945781976,0.7845328421680217,0.0,0.0,0.7538330554962158,0.8135593220338984,0.8,0.8067226890756303,60.0,0.8813559322033898,0.8666666666666667,0.8739495798319328,60.0,0.8867924528301887,0.7833333333333333,0.831858407079646,60.0,0.782608695652174,0.9,0.8372093023255814,60.0,"[[48, 5, 4, 3], [5, 52, 0, 3], [3, 1, 47, 9], [3, 1, 2, 54]]",48,5,4,3,5,52,0,3,3,1,47,9,3,1,2,54,20.554751071284034,12.421194515221123,8.335001978706854,5.214793627441901,8.353583958584215,10.147982745867811,8.020006561845227,7.530942427502565,5.7555857133401815,13.666157400206076
StackingEnsemble,0.8375,0.8375,0.8440057049015232,0.8375,0.8377913173738947,0.7854269593630577,0.8065063263525305,0.025684152770229982,7.046109676361084,0.8214285714285714,0.7666666666666667,0.7931034482758621,60.0,0.9122807017543859,0.8666666666666667,0.8888888888888888,60.0,0.8888888888888888,0.8,0.8421052631578947,60.0,0.7534246575342466,0.9166666666666666,0.8270676691729323,60.0,"[[46, 3, 5, 6], [5, 52, 0, 3], [2, 1, 48, 9], [3, 1, 1, 55]]",46,3,5,6,5,52,0,3,2,1,48,9,3,1,1,55,,,,,,,,,,
RandomForest,0.8375,0.8375,0.8422827293598782,0.8375,0.8371890777109621,0.7851164092163883,0.793924520069808,0.03860066395494763,1.5492777824401855,0.8363636363636363,0.7666666666666667,0.8,60.0,0.8524590163934426,0.8666666666666667,0.859504132231405,60.0,0.9056603773584906,0.8,0.8495575221238938,60.0,0.7746478873239436,0.9166666666666666,0.8396946564885496,60.0,"[[46, 5, 4, 5], [5, 52, 0, 3], [3, 1, 48, 8], [1, 3, 1, 55]]",46,5,4,5,5,52,0,3,3,1,48,8,1,3,1,55,0.20370372518066254,0.13615830974302837,0.07816186531435203,0.04650336918431837,0.06431932566155575,0.09833169255539426,0.09184846884412147,0.07943774430730707,0.0911474758278427,0.11038802338141748
ExtraTrees,0.8333333333333334,0.8333333333333334,0.8382048181343955,0.8333333333333334,0.8333379915104722,0.7794213473136495,0.7865892233856893,0.022249065798207568,1.1574528217315674,0.8181818181818182,0.75,0.782608695652174,60.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,60.0,0.9074074074074074,0.8166666666666667,0.8596491228070176,60.0,0.7605633802816901,0.9,0.8244274809160306,60.0,"[[45, 4, 4, 7], [6, 52, 0, 2], [2, 1, 49, 8], [2, 3, 1, 54]]",45,4,4,7,6,52,0,2,2,1,49,8,2,3,1,54,0.1782496522210965,0.13593054344737268,0.09855073695597535,0.06450209649110088,0.0745173383869708,0.088936132408977,0.08714249194397057,0.08824080309738921,0.08044843648967097,0.10348176855747598
GaussianProcess,0.8333333333333334,0.8333333333333334,0.8410509721793067,0.8333333333333334,0.8342529622021454,0.7798565553959439,0.8064954188481674,0.020575384378575822,114.05972528457642,0.8070175438596491,0.7666666666666667,0.7863247863247863,60.0,0.9285714285714286,0.8666666666666667,0.896551724137931,60.0,0.8888888888888888,0.8,0.8421052631578947,60.0,0.7397260273972602,0.9,0.8120300751879699,60.0,"[[46, 3, 4, 7], [6, 52, 0, 2], [1, 1, 48, 10], [4, 0, 2, 54]]",46,3,4,7,6,52,0,2,1,1,48,10,4,0,2,54,,,,,,,,,,
XGBoost,0.8333333333333334,0.8333333333333333,0.8434937449556094,0.8333333333333334,0.8338682146491476,0.7808748827220199,0.7834478621291449,0.030790107417950456,1.5973126888275146,0.8392857142857143,0.7833333333333333,0.8103448275862069,60.0,0.8813559322033898,0.8666666666666667,0.8739495798319328,60.0,0.92,0.7666666666666667,0.8363636363636363,60.0,0.7333333333333333,0.9166666666666666,0.8148148148148148,60.0,"[[47, 3, 4, 6], [4, 52, 0, 4], [3, 1, 46, 10], [2, 3, 0, 55]]",47,3,4,6,4,52,0,4,3,1,46,10,2,3,0,55,0.18198320269584656,0.12880592048168182,0.042395610362291336,0.03638935834169388,0.052482567727565765,0.1817086637020111,0.08039988577365875,0.07083265483379364,0.06280779838562012,0.16219434142112732
HistGradientBoosting,0.8291666666666667,0.8291666666666666,0.8412234223714299,0.8291666666666667,0.8301836086672153,0.7755868056726176,0.775065445026178,0.041665204692789504,14.633744239807129,0.8846153846153846,0.7666666666666667,0.8214285714285714,60.0,0.8387096774193549,0.8666666666666667,0.8524590163934426,60.0,0.9215686274509803,0.7833333333333333,0.8468468468468469,60.0,0.72,0.9,0.8,60.0,"[[46, 4, 4, 6], [3, 52, 0, 5], [2, 1, 47, 10], [1, 5, 0, 54]]",46,4,4,6,3,52,0,5,2,1,47,10,1,5,0,54,,,,,,,,,,
SVC_RBF,0.825,0.825,0.8326432129514321,0.825,0.8260097394911566,0.7686799707764543,0.8085896596858639,0.017561993217772607,0.1968686580657959,0.8214285714285714,0.7666666666666667,0.7931034482758621,60.0,0.9285714285714286,0.8666666666666667,0.896551724137931,60.0,0.8545454545454545,0.7833333333333333,0.8173913043478261,60.0,0.726027397260274,0.8833333333333333,0.7969924812030075,60.0,"[[46, 3, 5, 6], [5, 52, 0, 3], [1, 1, 47, 11], [4, 0, 3, 53]]",46,3,5,6,5,52,0,3,1,1,47,11,4,0,3,53,,,,,,,,,,
KNN_7,0.8208333333333333,0.8208333333333333,0.8315909090909092,0.8208333333333333,0.8216750841750842,0.7642131779863603,0.797038612565445,0.023275461684996987,0.07285785675048828,0.8363636363636363,0.7666666666666667,0.8,60.0,0.8833333333333333,0.8833333333333333,0.8833333333333333,60.0,0.9,0.75,0.8181818181818182,60.0,0.7066666666666667,0.8833333333333333,0.7851851851851852,60.0,"[[46, 4, 4, 6], [4, 53, 0, 3], [1, 1, 45, 13], [4, 2, 1, 53]]",46,4,4,6,4,53,0,3,1,1,45,13,4,2,1,53,,,,,,,,,,
GradientBoosting,0.8208333333333333,0.8208333333333333,0.8358909608909609,0.8208333333333333,0.8213046782080085,0.7663983374306844,0.7886998254799302,0.015776701184335086,3.3808372020721436,0.8653846153846154,0.75,0.8035714285714286,60.0,0.9090909090909091,0.8333333333333334,0.8695652173913043,60.0,0.8653846153846154,0.75,0.8035714285714286,60.0,0.7037037037037037,0.95,0.8085106382978723,60.0,"[[45, 4, 6, 5], [4, 50, 0, 6], [2, 0, 45, 13], [1, 1, 1, 57]]",45,4,6,5,4,50,0,6,2,0,45,13,1,1,1,57,0.2876651458555389,0.10966925393731052,0.03345726821997473,0.023737024808160836,0.04434248925319024,0.13323023311764623,0.07205308520032468,0.06152548962106314,0.07717959572551109,0.15714041426127956
