Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s
SVC_Linear,0.9375,0.9375,0.95,0.9375,0.9365079365079365,0.9214785982417301,0.8590769230769231,0.06467835759223022,0.0347437858581543
SVC_RBF,0.9375,0.9375,0.95,0.9375,0.9365079365079365,0.9214785982417301,0.8821538461538461,0.056615384615384616,0.03464770317077637
StackingEnsemble,0.9375,0.9375,0.95,0.9375,0.9365079365079365,0.9214785982417301,0.8667692307692307,0.06937489271807902,4.650177240371704
KNN_5,0.9375,0.9375,0.95,0.9375,0.9365079365079365,0.9214785982417301,0.844,0.033460742696108034,0.0685722827911377
ExtraTrees,0.90625,0.90625,0.9166666666666666,0.90625,0.9054621848739495,0.8784381271934221,0.8203076923076923,0.03080613171885247,1.0097160339355469
SGDClassifier,0.90625,0.90625,0.9318181818181819,0.90625,0.902834008097166,0.8854377448471462,0.828,0.019997632996026957,0.0644371509552002
LinearSVC,0.90625,0.90625,0.9222222222222223,0.90625,0.9051353874883286,0.8807528561790454,0.8587692307692307,0.04187781607593621,0.21609210968017578
LogisticRegression_L1,0.90625,0.90625,0.9318181818181819,0.90625,0.902834008097166,0.8854377448471462,0.8587692307692307,0.06934622850800196,0.0510866641998291
VotingEnsemble,0.90625,0.90625,0.9166666666666666,0.90625,0.9054621848739495,0.8784381271934221,0.8116923076923076,0.0487146017743705,1.9293107986450195
LogisticRegression_L2,0.90625,0.90625,0.9318181818181819,0.90625,0.902834008097166,0.8854377448471462,0.8584615384615384,0.0655680684299388,0.031717777252197266
LogisticRegression_ElasticNet,0.90625,0.90625,0.9318181818181819,0.90625,0.902834008097166,0.8854377448471462,0.8664615384615384,0.05458742512931454,0.05178093910217285
NuSVC,0.90625,0.90625,0.9166666666666666,0.90625,0.9054621848739496,0.8784381271934221,0.8664615384615384,0.060564601921561094,0.03669142723083496
Bagging,0.875,0.875,0.8740079365079365,0.875,0.8727941176470588,0.8344205266636646,0.788923076923077,0.07172201431414285,6.106774568557739
KNN_7,0.875,0.875,0.8770833333333334,0.875,0.8695436507936508,0.837707816583391,0.8283076923076923,0.03898839153589452,0.06047368049621582
CatBoost,0.875,0.875,0.8819444444444444,0.875,0.8723739495798319,0.8366077401842115,0.0,0.0,0.9251711368560791
QDA,0.875,0.875,0.8875,0.875,0.8740079365079365,0.837707816583391,0.7658461538461537,0.07294579328101415,0.026755571365356445
PassiveAggressive,0.875,0.875,0.8833333333333333,0.875,0.873015873015873,0.837707816583391,0.8273846153846154,0.043059337069626814,0.0645759105682373
KNN_3,0.875,0.875,0.9040404040404041,0.875,0.8624871001031991,0.8478078067985948,0.8363076923076923,0.02704543623796397,0.04823184013366699
NearestCentroid,0.875,0.875,0.8944444444444445,0.875,0.8757236227824463,0.8388122439800432,0.8430769230769231,0.06320062916322289,0.028905153274536133
GaussianNB,0.875,0.875,0.8972222222222221,0.875,0.8773576097105509,0.8388122439800432,0.8818461538461537,0.06768811175806858,0.02830362319946289
DecisionTree,0.84375,0.84375,0.8473214285714286,0.84375,0.8409722222222222,0.7947773531750009,0.712,0.1002264890756233,0.0391693115234375
RandomForest,0.84375,0.84375,0.8517857142857143,0.84375,0.8430555555555557,0.7947773531750009,0.836,0.029118813942943935,1.3046393394470215
SVC_Poly,0.84375,0.84375,0.8809523809523809,0.84375,0.8476190476190477,0.8032552181511441,0.7966153846153846,0.04707189515634002,0.028353214263916016
LDA,0.84375,0.84375,0.8813131313131313,0.84375,0.8451456696038739,0.8021806287494233,0.7966153846153846,0.0460347180535755,0.027617931365966797
RidgeClassifier,0.84375,0.84375,0.875,0.84375,0.8423076923076922,0.8011103405759895,0.8039999999999999,0.05214998851174511,0.03204011917114258
Perceptron,0.84375,0.84375,0.8762626262626263,0.84375,0.8330753353973168,0.805417416458665,0.8427692307692307,0.05278873826465226,0.06737446784973145
MLP_Large,0.84375,0.84375,0.8472222222222222,0.84375,0.833584715937657,0.7989825537092421,0.8126153846153846,0.02807260240727885,0.4452016353607178
HistGradientBoosting,0.8125,0.8125,0.8541666666666666,0.8125,0.8131410256410256,0.7630270261187353,0.7652307692307693,0.027957702625478285,1.8744781017303467
XGBoost,0.78125,0.78125,0.8083333333333333,0.78125,0.7817460317460317,0.7158291329065412,0.7886153846153846,0.059605011504484294,0.9436872005462646
GradientBoosting,0.78125,0.78125,0.8333333333333333,0.78125,0.7830639948287008,0.7225869414717834,0.7424615384615384,0.05118801634905851,2.7695765495300293
ExtraTree,0.71875,0.71875,0.7847222222222222,0.71875,0.7084224598930482,0.6428243465332251,0.6556923076923077,0.11021399303334867,0.025997400283813477
MLP_Medium,0.6875,0.6875,0.7074175824175825,0.6875,0.6785714285714286,0.5966908442982777,0.7661538461538461,0.0940552525515953,0.3195686340332031
MLP_L2,0.6875,0.6875,0.7074175824175825,0.6875,0.6785714285714286,0.5966908442982777,0.7661538461538461,0.0940552525515953,0.321671724319458
AdaBoost,0.5625,0.5625,0.6666666666666666,0.5625,0.5674325674325674,0.46004370622823615,0.7264615384615386,0.06935305439449768,0.6230525970458984
GaussianProcess,0.46875,0.46875,0.2543290043290043,0.46875,0.32214156079854805,0.37605071654517747,0.24215384615384616,0.014153846153846147,1.150902271270752
DummyStratified,0.3125,0.3125,0.31785714285714284,0.3125,0.3031801531801532,0.08618608271771433,0.28092307692307694,0.042807951481695215,0.02895832061767578
MLP_Small,0.25,0.25,0.06451612903225806,0.25,0.10256410256410256,0.0,0.32123076923076926,0.11831719477692859,0.19646883010864258
DummyMostFrequent,0.25,0.25,0.0625,0.25,0.1,0.0,0.23446153846153844,0.004522134909753549,0.017279863357543945
