Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s,BB_precision,BB_recall,BB_f1,BB_support,BA_precision,BA_recall,BA_f1,BA_support,AA_precision,AA_recall,AA_f1,AA_support,AB_precision,AB_recall,AB_f1,AB_support,Confusion_Matrix,CM_BB_pred_BB,CM_BB_pred_BA,CM_BB_pred_AA,CM_BB_pred_AB,CM_BA_pred_BB,CM_BA_pred_BA,CM_BA_pred_AA,CM_BA_pred_AB,CM_AA_pred_BB,CM_AA_pred_BA,CM_AA_pred_AA,CM_AA_pred_AB,CM_AB_pred_BB,CM_AB_pred_BA,CM_AB_pred_AA,CM_AB_pred_AB,FeatImp_1,FeatImp_2,FeatImp_3,FeatImp_4,FeatImp_5,FeatImp_6,FeatImp_7,FeatImp_8,FeatImp_9,FeatImp_10
KNN_7,0.8125,0.8125,0.8416666666666666,0.8125,0.8022875816993464,0.7609786277221365,0.8433846153846153,0.026866313788237606,0.06176567077636719,1.0,0.5,0.6666666666666666,8.0,0.7777777777777778,0.875,0.8235294117647058,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,0.7,0.875,0.7777777777777778,8.0,"[[4, 1, 1, 2], [0, 7, 0, 1], [0, 0, 8, 0], [0, 1, 0, 7]]",4,1,1,2,0,7,0,1,0,0,8,0,0,1,0,7,,,,,,,,,,
SVC_Linear,0.8125,0.8125,0.8115079365079365,0.8125,0.8102941176470588,0.7509784739972982,0.8673846153846153,0.05167398942826024,0.03316187858581543,0.75,0.75,0.75,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,0.75,0.75,0.75,8.0,0.8571428571428571,0.75,0.8,8.0,"[[6, 0, 1, 1], [0, 8, 0, 0], [2, 0, 6, 0], [0, 1, 1, 6]]",6,0,1,1,0,8,0,0,2,0,6,0,0,1,1,6,0.5610673090633419,0.6771241853547663,0.3416857224423317,0.4534794555412274,0.5395330996796851,0.8537636732547176,0.2702052634364438,0.27295020149728805,0.41153334599692365,0.42815039845254804
SGDClassifier,0.8125,0.8125,0.8450126262626263,0.8125,0.8018253353973168,0.7630270261187353,0.8510769230769231,0.06817589502692205,0.07235240936279297,1.0,0.5,0.6666666666666666,8.0,0.875,0.875,0.875,8.0,0.7272727272727273,1.0,0.8421052631578947,8.0,0.7777777777777778,0.875,0.8235294117647058,8.0,"[[4, 0, 2, 2], [0, 7, 1, 0], [0, 0, 8, 0], [0, 1, 0, 7]]",4,0,2,2,0,7,1,0,0,0,8,0,0,1,0,7,11.147842407226562,15.184929847717285,9.945405960083008,4.068500518798828,11.968643188476562,17.82476234436035,5.2515950202941895,3.9358651638031006,11.277789115905762,7.465543270111084
RidgeClassifier,0.8125,0.8125,0.8541666666666666,0.8125,0.8041666666666667,0.7661308776828738,0.8833846153846153,0.048194870703532094,0.030466318130493164,1.0,0.5,0.6666666666666666,8.0,0.6666666666666666,1.0,0.8,8.0,0.875,0.875,0.875,8.0,0.875,0.875,0.875,8.0,"[[4, 2, 1, 1], [0, 8, 0, 0], [0, 1, 7, 0], [0, 1, 0, 7]]",4,2,1,1,0,8,0,0,0,1,7,0,0,1,0,7,0.1456623375415802,0.21736866235733032,0.1582040935754776,0.08927037566900253,0.12092799693346024,0.21333761513233185,0.05152250826358795,0.01599978655576706,0.21191170811653137,0.09175267815589905
VotingEnsemble,0.8125,0.8125,0.8405483405483406,0.8125,0.8087163610383423,0.7599605956573484,0.9061538461538461,0.04077358467317526,1.8590397834777832,1.0,0.625,0.7692307692307693,8.0,0.7272727272727273,1.0,0.8421052631578947,8.0,0.7777777777777778,0.875,0.8235294117647058,8.0,0.8571428571428571,0.75,0.8,8.0,"[[5, 1, 1, 1], [0, 8, 0, 0], [0, 1, 7, 0], [0, 1, 1, 6]]",5,1,1,1,0,8,0,0,0,1,7,0,0,1,1,6,,,,,,,,,,
CatBoost,0.78125,0.78125,0.792063492063492,0.78125,0.7788982259570494,0.7129904073830368,0.0,0.0,0.8039324283599854,0.8333333333333334,0.625,0.7142857142857143,8.0,0.7,0.875,0.7777777777777778,8.0,0.7777777777777778,0.875,0.8235294117647058,8.0,0.8571428571428571,0.75,0.8,8.0,"[[5, 1, 1, 1], [1, 7, 0, 0], [0, 1, 7, 0], [0, 1, 1, 6]]",5,1,1,1,1,7,0,0,0,1,7,0,0,1,1,6,13.64370001654883,12.33970939787664,8.228473069801366,6.830568407455304,2.3304451124131664,28.184276653782003,2.0448427694918343,3.171254922791587,13.952404288568026,9.274325361271242
Bagging,0.78125,0.78125,0.7813492063492063,0.78125,0.773342670401494,0.7129904073830368,0.828923076923077,0.07536514662258534,6.162079334259033,0.8333333333333334,0.625,0.7142857142857143,8.0,0.8,1.0,0.8888888888888888,8.0,0.7777777777777778,0.875,0.8235294117647058,8.0,0.7142857142857143,0.625,0.6666666666666666,8.0,"[[5, 1, 1, 1], [0, 8, 0, 0], [0, 0, 7, 1], [1, 1, 1, 5]]",5,1,1,1,0,8,0,0,0,0,7,1,1,1,1,5,,,,,,,,,,
RandomForest,0.78125,0.78125,0.7758928571428572,0.78125,0.7743055555555555,0.7111165791565798,0.8907692307692308,0.04570033599503588,1.2824294567108154,0.7142857142857143,0.625,0.6666666666666666,8.0,0.8,1.0,0.8888888888888888,8.0,0.875,0.875,0.875,8.0,0.7142857142857143,0.625,0.6666666666666666,8.0,"[[5, 1, 1, 1], [0, 8, 0, 0], [0, 0, 7, 1], [2, 1, 0, 5]]",5,1,1,1,0,8,0,0,0,0,7,1,2,1,0,5,0.12124704386460873,0.1536523701404223,0.09671017218094576,0.06447307480446617,0.07692536770956909,0.176396936141763,0.06774221775388516,0.04484527983661642,0.11883610846397495,0.07917142910374843
StackingEnsemble,0.78125,0.78125,0.7817460317460317,0.78125,0.7784313725490195,0.7101851883454066,0.8987692307692307,0.03914349266163508,4.686689376831055,0.7142857142857143,0.625,0.6666666666666666,8.0,0.7777777777777778,0.875,0.8235294117647058,8.0,0.7777777777777778,0.875,0.8235294117647058,8.0,0.8571428571428571,0.75,0.8,8.0,"[[5, 1, 1, 1], [1, 7, 0, 0], [1, 0, 7, 0], [0, 1, 1, 6]]",5,1,1,1,1,7,0,0,1,0,7,0,0,1,1,6,,,,,,,,,,
SVC_RBF,0.78125,0.78125,0.799702380952381,0.78125,0.7725961538461539,0.7206366357788055,0.891076923076923,0.057575471437432496,0.03366518020629883,0.8,0.5,0.6153846153846154,8.0,0.6666666666666666,1.0,0.8,8.0,0.875,0.875,0.875,8.0,0.8571428571428571,0.75,0.8,8.0,"[[4, 2, 1, 1], [0, 8, 0, 0], [0, 1, 7, 0], [1, 1, 0, 6]]",4,2,1,1,0,8,0,0,0,1,7,0,1,1,0,6,,,,,,,,,,
