2: 1772643318.612302 {'phy0-ap0': [{'mac': '4a:ff:61:0a:f6:20', 'rssi': -50, 'rx_bytes': 691983, 'tx_bytes': 932743, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -43, 'rx_bytes': 7292155, 'tx_bytes': 40648520, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -45, 'rx_bytes': 16422046, 'tx_bytes': 33462222, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -29, 'rx_bytes': 2222384, 'tx_bytes': 53558705, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '56:ec:bd:68:73:0c', 'rssi': -60, 'rx_bytes': 5555262, 'tx_bytes': 21365895, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1772643319.837532 {'phy0-ap0': [{'mac': '4a:ff:61:0a:f6:20', 'rssi': -50, 'rx_bytes': 691983, 'tx_bytes': 932743, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -39, 'rx_bytes': 7292357, 'tx_bytes': 40648618, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -53, 'rx_bytes': 16422408, 'tx_bytes': 33462320, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -29, 'rx_bytes': 2222384, 'tx_bytes': 53558705, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '56:ec:bd:68:73:0c', 'rssi': -55, 'rx_bytes': 5555640, 'tx_bytes': 21366091, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1772643321.058159 {'phy0-ap0': [{'mac': '4a:ff:61:0a:f6:20', 'rssi': -50, 'rx_bytes': 691983, 'tx_bytes': 932743, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -47, 'rx_bytes': 7292683, 'tx_bytes': 40648814, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -53, 'rx_bytes': 16423556, 'tx_bytes': 33462418, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -29, 'rx_bytes': 2222384, 'tx_bytes': 53558705, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '56:ec:bd:68:73:0c', 'rssi': -51, 'rx_bytes': 5555816, 'tx_bytes': 21366189, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1772643322.325565 {'phy0-ap0': [{'mac': '4a:ff:61:0a:f6:20', 'rssi': -50, 'rx_bytes': 691983, 'tx_bytes': 932743, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -59, 'rx_bytes': 7293067, 'tx_bytes': 40648912, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -46, 'rx_bytes': 16424494, 'tx_bytes': 33462614, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -29, 'rx_bytes': 2222384, 'tx_bytes': 53558705, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '56:ec:bd:68:73:0c', 'rssi': -51, 'rx_bytes': 5555966, 'tx_bytes': 21366287, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1772643323.540293 {'phy0-ap0': [{'mac': '4a:ff:61:0a:f6:20', 'rssi': -50, 'rx_bytes': 691983, 'tx_bytes': 932743, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -62, 'rx_bytes': 7293269, 'tx_bytes': 40649010, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -52, 'rx_bytes': 16425108, 'tx_bytes': 33462712, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -29, 'rx_bytes': 2222384, 'tx_bytes': 53558705, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '56:ec:bd:68:73:0c', 'rssi': -46, 'rx_bytes': 5556220, 'tx_bytes': 21366385, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1772643324.797013 {'phy0-ap0': [{'mac': '4a:ff:61:0a:f6:20', 'rssi': -50, 'rx_bytes': 691983, 'tx_bytes': 932743, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -52, 'rx_bytes': 7293635, 'tx_bytes': 40649365, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -47, 'rx_bytes': 16425614, 'tx_bytes': 33462900, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -29, 'rx_bytes': 2222384, 'tx_bytes': 53558705, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '56:ec:bd:68:73:0c', 'rssi': -46, 'rx_bytes': 5613368, 'tx_bytes': 21458082, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1772643326.009857 {'phy0-ap0': [{'mac': '4a:ff:61:0a:f6:20', 'rssi': -50, 'rx_bytes': 691983, 'tx_bytes': 932743, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -49, 'rx_bytes': 7295060, 'tx_bytes': 40650504, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -50, 'rx_bytes': 16426092, 'tx_bytes': 33462998, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -29, 'rx_bytes': 2222384, 'tx_bytes': 53558705, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '56:ec:bd:68:73:0c', 'rssi': -33, 'rx_bytes': 5614025, 'tx_bytes': 21459516, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1772643327.272345 {'phy0-ap0': [{'mac': '4a:ff:61:0a:f6:20', 'rssi': -50, 'rx_bytes': 691983, 'tx_bytes': 932743, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -52, 'rx_bytes': 7295314, 'tx_bytes': 40650602, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -40, 'rx_bytes': 16426720, 'tx_bytes': 33463194, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -29, 'rx_bytes': 2222384, 'tx_bytes': 53558705, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '56:ec:bd:68:73:0c', 'rssi': -35, 'rx_bytes': 5614227, 'tx_bytes': 21459614, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1772643328.494436 {'phy0-ap0': [{'mac': '4a:ff:61:0a:f6:20', 'rssi': -50, 'rx_bytes': 691983, 'tx_bytes': 932743, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -42, 'rx_bytes': 7296010, 'tx_bytes': 40651060, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -60, 'rx_bytes': 16427034, 'tx_bytes': 33463292, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -29, 'rx_bytes': 2222384, 'tx_bytes': 53558705, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '56:ec:bd:68:73:0c', 'rssi': -34, 'rx_bytes': 5614377, 'tx_bytes': 21459712, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1772643341.479128 {'phy0-ap0': [{'mac': '4a:ff:61:0a:f6:20', 'rssi': -30, 'rx_bytes': 692097, 'tx_bytes': 933000, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -43, 'rx_bytes': 7299216, 'tx_bytes': 40652736, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -44, 'rx_bytes': 16482331, 'tx_bytes': 33556417, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -63, 'rx_bytes': 2222408, 'tx_bytes': 53558705, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '56:ec:bd:68:73:0c', 'rssi': -42, 'rx_bytes': 5616927, 'tx_bytes': 21461286, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
