3: 1760455797.107672 {'phy0-ap0': [], 'phy1-ap0': [{'mac': '76:64:61:f6:e6:14', 'rssi': -43, 'rx_bytes': 74951, 'tx_bytes': 56377, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1760455798.390518 {'phy0-ap0': [], 'phy1-ap0': [{'mac': '76:64:61:f6:e6:14', 'rssi': -38, 'rx_bytes': 76623, 'tx_bytes': 57953, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1760455799.621777 {'phy0-ap0': [], 'phy1-ap0': [{'mac': '76:64:61:f6:e6:14', 'rssi': -38, 'rx_bytes': 78113, 'tx_bytes': 58377, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1760455800.899422 {'phy0-ap0': [], 'phy1-ap0': [{'mac': '76:64:61:f6:e6:14', 'rssi': -28, 'rx_bytes': 78381, 'tx_bytes': 58573, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1760455802.192125 {'phy0-ap0': [], 'phy1-ap0': [{'mac': '76:64:61:f6:e6:14', 'rssi': -37, 'rx_bytes': 79350, 'tx_bytes': 59494, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1760455803.458409 {'phy0-ap0': [], 'phy1-ap0': [{'mac': '76:64:61:f6:e6:14', 'rssi': -41, 'rx_bytes': 79520, 'tx_bytes': 59592, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1760455804.697665 {'phy0-ap0': [], 'phy1-ap0': [{'mac': '76:64:61:f6:e6:14', 'rssi': -59, 'rx_bytes': 79788, 'tx_bytes': 59788, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
4: 1760455813.778325 {'phy0-ap0': [], 'phy1-ap0': [{'mac': '76:64:61:f6:e6:14', 'rssi': -60, 'rx_bytes': 81845, 'tx_bytes': 61437, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
4: 1760455815.009675 {'phy0-ap0': [], 'phy1-ap0': [{'mac': '76:64:61:f6:e6:14', 'rssi': -49, 'rx_bytes': 82960, 'tx_bytes': 62456, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
4: 1760455816.294792 {'phy0-ap0': [], 'phy1-ap0': [{'mac': '76:64:61:f6:e6:14', 'rssi': -51, 'rx_bytes': 83106, 'tx_bytes': 62554, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
4: 1760455817.571667 {'phy0-ap0': [], 'phy1-ap0': [{'mac': '76:64:61:f6:e6:14', 'rssi': -48, 'rx_bytes': 83252, 'tx_bytes': 62652, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
