2: 1763480432.116905 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -39, 'rx_bytes': 27215, 'tx_bytes': 16340, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -38, 'rx_bytes': 75013, 'tx_bytes': 46293, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -53, 'rx_bytes': 199164, 'tx_bytes': 108090, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '86:1d:1e:e5:49:5a', 'rssi': -36, 'rx_bytes': 57930, 'tx_bytes': 29858, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1763480433.277465 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -39, 'rx_bytes': 27215, 'tx_bytes': 16340, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -37, 'rx_bytes': 75471, 'tx_bytes': 46647, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -29, 'rx_bytes': 199590, 'tx_bytes': 108444, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '86:1d:1e:e5:49:5a', 'rssi': -50, 'rx_bytes': 58204, 'tx_bytes': 30054, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1763480434.388617 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -39, 'rx_bytes': 27215, 'tx_bytes': 16340, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -42, 'rx_bytes': 75955, 'tx_bytes': 47001, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -43, 'rx_bytes': 200137, 'tx_bytes': 108897, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '86:1d:1e:e5:49:5a', 'rssi': -58, 'rx_bytes': 58380, 'tx_bytes': 30152, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1763480435.55441 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -39, 'rx_bytes': 27215, 'tx_bytes': 16340, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -37, 'rx_bytes': 76183, 'tx_bytes': 47099, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -57, 'rx_bytes': 200661, 'tx_bytes': 109251, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '86:1d:1e:e5:49:5a', 'rssi': -59, 'rx_bytes': 58530, 'tx_bytes': 30250, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1763480436.716661 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -34, 'rx_bytes': 27816, 'tx_bytes': 16917, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -37, 'rx_bytes': 76641, 'tx_bytes': 47453, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -58, 'rx_bytes': 201769, 'tx_bytes': 109605, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '86:1d:1e:e5:49:5a', 'rssi': -58, 'rx_bytes': 58680, 'tx_bytes': 30348, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1763480437.874979 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -34, 'rx_bytes': 27816, 'tx_bytes': 16917, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -46, 'rx_bytes': 77275, 'tx_bytes': 47905, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -54, 'rx_bytes': 202415, 'tx_bytes': 110061, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '86:1d:1e:e5:49:5a', 'rssi': -58, 'rx_bytes': 58830, 'tx_bytes': 30446, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1763480439.034711 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -34, 'rx_bytes': 27816, 'tx_bytes': 16917, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -38, 'rx_bytes': 77759, 'tx_bytes': 48259, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -64, 'rx_bytes': 203345, 'tx_bytes': 110797, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '86:1d:1e:e5:49:5a', 'rssi': -61, 'rx_bytes': 58980, 'tx_bytes': 30544, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1763480440.196611 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -34, 'rx_bytes': 27816, 'tx_bytes': 16917, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -55, 'rx_bytes': 79980, 'tx_bytes': 49180, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -45, 'rx_bytes': 204287, 'tx_bytes': 111691, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '86:1d:1e:e5:49:5a', 'rssi': -61, 'rx_bytes': 59130, 'tx_bytes': 30642, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1763480441.312095 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -35, 'rx_bytes': 27906, 'tx_bytes': 16959, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -46, 'rx_bytes': 80972, 'tx_bytes': 49860, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -51, 'rx_bytes': 204957, 'tx_bytes': 112147, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '86:1d:1e:e5:49:5a', 'rssi': -49, 'rx_bytes': 59430, 'tx_bytes': 30838, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1763480473.199204 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -31, 'rx_bytes': 28492, 'tx_bytes': 17399, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -43, 'rx_bytes': 101019, 'tx_bytes': 64761, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -33, 'rx_bytes': 223208, 'tx_bytes': 127044, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '86:1d:1e:e5:49:5a', 'rssi': -34, 'rx_bytes': 65612, 'tx_bytes': 34260, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
