2: 1764087224.812265 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -59, 'rx_bytes': 137244, 'tx_bytes': 111327, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -48, 'rx_bytes': 7433016, 'tx_bytes': 2440635, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -61, 'rx_bytes': 81485, 'tx_bytes': 47664, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -50, 'rx_bytes': 2620925, 'tx_bytes': 1812458, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1764087225.584023 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -59, 'rx_bytes': 137244, 'tx_bytes': 111327, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -49, 'rx_bytes': 7433946, 'tx_bytes': 2440989, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -56, 'rx_bytes': 81635, 'tx_bytes': 47762, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -54, 'rx_bytes': 2621127, 'tx_bytes': 1812556, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1764087226.350944 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -59, 'rx_bytes': 137244, 'tx_bytes': 111327, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -51, 'rx_bytes': 7433970, 'tx_bytes': 2440989, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -48, 'rx_bytes': 81785, 'tx_bytes': 47860, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -56, 'rx_bytes': 2621833, 'tx_bytes': 1813184, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1764087227.113895 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -59, 'rx_bytes': 137244, 'tx_bytes': 111327, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -42, 'rx_bytes': 7434900, 'tx_bytes': 2441343, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -46, 'rx_bytes': 81935, 'tx_bytes': 47958, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -49, 'rx_bytes': 2622838, 'tx_bytes': 1814007, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1764087227.872656 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -59, 'rx_bytes': 137244, 'tx_bytes': 111327, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -44, 'rx_bytes': 7435190, 'tx_bytes': 2441441, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -46, 'rx_bytes': 81935, 'tx_bytes': 47958, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -50, 'rx_bytes': 2623296, 'tx_bytes': 1814361, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1764087228.634286 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -59, 'rx_bytes': 137244, 'tx_bytes': 111327, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -43, 'rx_bytes': 7435928, 'tx_bytes': 2441795, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -54, 'rx_bytes': 82085, 'tx_bytes': 48056, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -58, 'rx_bytes': 2623498, 'tx_bytes': 1814459, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1764087229.391408 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -59, 'rx_bytes': 137244, 'tx_bytes': 111327, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -42, 'rx_bytes': 7435976, 'tx_bytes': 2441795, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -39, 'rx_bytes': 82235, 'tx_bytes': 48154, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -56, 'rx_bytes': 2623982, 'tx_bytes': 1814813, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1764087230.163023 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -59, 'rx_bytes': 137244, 'tx_bytes': 111327, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -30, 'rx_bytes': 7436762, 'tx_bytes': 2442149, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -40, 'rx_bytes': 82385, 'tx_bytes': 48252, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -53, 'rx_bytes': 2624438, 'tx_bytes': 1815087, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1764087230.882819 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -56, 'rx_bytes': 137734, 'tx_bytes': 111767, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -41, 'rx_bytes': 7437268, 'tx_bytes': 2442247, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -40, 'rx_bytes': 82385, 'tx_bytes': 48252, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -58, 'rx_bytes': 2624896, 'tx_bytes': 1815441, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1764087239.561027 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -63, 'rx_bytes': 138192, 'tx_bytes': 112151, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -56, 'rx_bytes': 7444050, 'tx_bytes': 2445957, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -60, 'rx_bytes': 83735, 'tx_bytes': 49134, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -60, 'rx_bytes': 2628124, 'tx_bytes': 1817603, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1764087240.322154 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -63, 'rx_bytes': 138192, 'tx_bytes': 112151, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -46, 'rx_bytes': 7444908, 'tx_bytes': 2446311, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -51, 'rx_bytes': 83885, 'tx_bytes': 49232, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -59, 'rx_bytes': 2628634, 'tx_bytes': 1817957, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1764087241.073276 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -63, 'rx_bytes': 138192, 'tx_bytes': 112151, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -46, 'rx_bytes': 7445126, 'tx_bytes': 2446409, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -55, 'rx_bytes': 84035, 'tx_bytes': 49330, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -59, 'rx_bytes': 2628712, 'tx_bytes': 1817957, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1764087241.844525 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -63, 'rx_bytes': 138192, 'tx_bytes': 112151, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -49, 'rx_bytes': 7445912, 'tx_bytes': 2446763, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -55, 'rx_bytes': 84035, 'tx_bytes': 49330, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -61, 'rx_bytes': 2629170, 'tx_bytes': 1818311, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1764087242.558986 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -63, 'rx_bytes': 138192, 'tx_bytes': 112151, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -43, 'rx_bytes': 7446058, 'tx_bytes': 2446861, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -55, 'rx_bytes': 84185, 'tx_bytes': 49428, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -64, 'rx_bytes': 2629346, 'tx_bytes': 1818409, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1764087243.335492 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -63, 'rx_bytes': 138192, 'tx_bytes': 112151, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -45, 'rx_bytes': 7446770, 'tx_bytes': 2447117, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -46, 'rx_bytes': 84335, 'tx_bytes': 49526, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -61, 'rx_bytes': 2629804, 'tx_bytes': 1818763, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1764087244.060452 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -63, 'rx_bytes': 138192, 'tx_bytes': 112151, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -40, 'rx_bytes': 7447084, 'tx_bytes': 2447215, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -43, 'rx_bytes': 84485, 'tx_bytes': 49624, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -60, 'rx_bytes': 2629882, 'tx_bytes': 1818763, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1764087244.812992 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -63, 'rx_bytes': 138192, 'tx_bytes': 112151, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -36, 'rx_bytes': 7447774, 'tx_bytes': 2447569, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -43, 'rx_bytes': 84485, 'tx_bytes': 49624, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -50, 'rx_bytes': 2630340, 'tx_bytes': 1819117, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
3: 1764087245.533467 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -63, 'rx_bytes': 138192, 'tx_bytes': 112151, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -34, 'rx_bytes': 7447992, 'tx_bytes': 2447667, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -35, 'rx_bytes': 84635, 'tx_bytes': 49722, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -51, 'rx_bytes': 2630490, 'tx_bytes': 1819215, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
